HEROP_ID,MhMinDis
140US01009050702,13.41899591
140US01009050501,10.61590229
140US01089010801,8.31642655
140US01089010403,12.46596091
140US01089011202,7.657591666
140US01089010102,12.23268789
140US01089010101,18.69761585
140US01089000203,5.77547728
140US01107050300,13.85090512
140US01107050100,17.27436565
140US01119011600,17.83967959
140US01127021700,12.10987131
140US01127021800,13.35002974
140US01127021600,15.29822734
140US01127020400,2.569721377
140US01065040000,17.44866866
140US01099076000,24.52817734
140US01073013400,3.778952008
140US01073013100,3.007412209
140US01073005702,1.576498196
140US01073010706,3.386527988
140US01073011205,6.486083601
140US01073011803,2.903097375
140US01073000100,2.188341627
140US01073001902,0.786871496
140US01073010702,1.43311303
140US01073004701,0.889098351
140US01073002200,0.295115869
140US01073002306,2.174381353
140US01073010801,1.919527942
140US01073012907,6.519051581
140US01073014409,7.188688389
140US01073012200,16.00383699
140US01073012500,5.053345678
140US01073012403,7.792595265
140US01103005101,4.304891829
140US01103005109,2.565812415
140US01103005303,10.25070977
140US01125012800,1.976215725
140US01125012305,2.871226944
140US01125010802,2.93562591
140US01125010404,1.138052609
140US01125012501,5.751522718
140US01125010302,9.400024054
140US01125010201,7.718745452
140US01125010804,1.758633472
140US01125012600,2.676123396
140US01133965800,3.86234812
140US01091973100,17.91614017
140US01095030903,6.220311858
140US01095030401,7.297311331
140US01073000800,3.626788677
140US01073003001,1.170037748
140US01073002900,1.455297117
140US01073005907,1.379384991
140US01073014404,4.610492071
140US01073010703,1.681436172
140US01073011209,4.613222906
140US01073013601,4.822069757
140US01073010200,2.566351777
140US01073005701,2.005020633
140US01073003802,0.937914058
140US01073005103,1.194759115
140US01079979800,4.995292336
140US01079979700,9.886556142
140US01083020402,6.021086698
140US01083020700,0.098532545
140US01071950200,9.988773765
140US01089010902,10.24368167
140US01089001902,2.58631554
140US01089002100,1.933222745
140US01089002912,3.664414837
140US01089000302,3.821284221
140US01089000502,1.999935377
140US01089000601,1.737316986
140US01089001000,3.285010205
140US01089001301,1.758913434
140US01089002000,1.126041771
140US01089002911,2.656460164
140US01089011400,13.20636361
140US01089010200,11.77966311
140US01089002801,1.234798031
140US01057020100,18.47051417
140US01057020000,20.44494529
140US01057020200,13.91339996
140US01111000200,14.29558714
140US01111000500,15.79077479
140US01039961800,2.280527365
140US01039961900,0.534381688
140US01039962900,11.79033049
140US01043964500,10.36002586
140US01043964400,5.802294099
140US01039963000,16.26914065
140US01033020802,15.3801286
140US01033020500,8.558259378
140US01035960600,16.53546664
140US01025957902,21.32552654
140US01049961200,3.953711057
140US01003011102,11.58403132
140US01003011300,14.11295983
140US01003010903,7.253573522
