GEOID,HEROP_ID,HivCntDr,HivTmDr,HivTmDr2
1073005103,140US01073005103,12,3.88,7.76
1079979800,140US01079979800,0,48.39,96.78
1079979700,140US01079979700,0,51.78,103.56
1083020402,140US01083020402,1,22.65,45.3
1083020700,140US01083020700,1,18.95,37.9
1071950200,140US01071950200,0,37.89,75.78
1089010902,140US01089010902,0,83.05,166.1
1089001902,140US01089001902,1,23.78,47.56
1089002100,140US01089002100,1,13.97,27.94
1089002912,140US01089002912,1,26.61,53.22
1089000302,140US01089000302,1,19.98,39.96
1089000502,140US01089000502,1,17.28,34.56
1089000601,140US01089000601,1,15.49,30.98
1089001000,140US01089001000,1,16.16,32.32
1089001301,140US01089001301,1,14.72,29.44
1089002000,140US01089002000,1,16.25,32.5
1089002911,140US01089002911,1,24.74,49.48
1089011400,140US01089011400,0,38.17,76.34
1089010200,140US01089010200,0,88.18,176.36
1089002801,140US01089002801,1,22.18,44.36
1057020100,140US01057020100,0,49.31,98.62
1057020000,140US01057020000,0,33.62,67.24
1057020200,140US01057020200,0,54.07,108.14
1111000200,140US01111000200,0,45.62,91.24
1111000500,140US01111000500,0,34.59,69.18
1039961800,140US01039961800,1,11.67,23.34
1039961900,140US01039961900,1,10.5,21
1039962900,140US01039962900,1,29.9,59.8
1043964500,140US01043964500,0,43.5,87
1043964400,140US01043964400,0,41.24,82.48
1039963000,140US01039963000,0,42.08,84.16
1033020802,140US01033020802,0,57.16,114.32
1033020500,140US01033020500,0,64.96,129.92
1035960600,140US01035960600,0,43.16,86.32
1025957902,140US01025957902,0,37.46,74.92
1049961200,140US01049961200,0,37.78,75.56
1003011102,140US01003011102,0,34.94,69.88
1003011300,140US01003011300,0,36.48,72.96
1003010903,140US01003010903,1,29.53,59.06
1003010904,140US01003010904,0,39.51,79.02
1003011000,140US01003011000,0,40.56,81.12
1053970100,140US01053970100,0,68.04,136.08
1047956500,140US01047956500,0,50.93,101.86
1055000300,140US01055000300,3,3.67,7.34
1077010300,140US01077010300,0,56.2,112.4
