"GEOID","NoVehHHld","CommTransit","CommWalking","HEROP_ID"
"02576",4.45,1.12,0.64,"860US02576"
"02584",0,0,0,"860US02584"
"02601",12.44,1.48,4.47,"860US02601"
"02630",0,0,0,"860US02630"
"02631",5.12,0.57,1.89,"860US02631"
"02632",2.77,1.36,0.74,"860US02632"
"02633",4.18,1.73,3.23,"860US02633"
"02635",0.88,2.85,3.75,"860US02635"
"02637",0,0,0,"860US02637"
"02638",2.22,0,1.08,"860US02638"
"02639",8.1,2.39,3.75,"860US02639"
"02641",0,0,8.6,"860US02641"
"02642",3.04,0.85,3.17,"860US02642"
"02643",NA,NA,NA,"860US02643"
"02644",2.83,0.33,0,"860US02644"
"02645",2.58,0.43,0.47,"860US02645"
"02646",9.88,0,6.38,"860US02646"
"02647",0,0,0,"860US02647"
"02648",0.57,1.12,1.29,"860US02648"
"02649",3.77,0.94,2.25,"860US02649"
"02650",10.14,0,0.95,"860US02650"
"02651",NA,NA,NA,"860US02651"
"02652",1.68,0,0,"860US02652"
"02653",7.14,0.17,2.29,"860US02653"
"02655",4.94,0.5,11.18,"860US02655"
"02657",11.99,2.07,23.86,"860US02657"
"02659",4.64,0,10.89,"860US02659"
"02660",3.46,0.88,0,"860US02660"
"02663",0,0,0,"860US02663"
"02664",5.79,0.96,1.42,"860US02664"
"02666",6.01,0,0.5,"860US02666"
"02667",2.67,1.62,5.36,"860US02667"
"02668",1.28,1.21,1.21,"860US02668"
"02669",0,0,0,"860US02669"
"02670",11.49,2.06,0,"860US02670"
"02671",0,0.98,18.95,"860US02671"
"02672",0,0,0,"860US02672"
"02673",7.66,4.67,1.48,"860US02673"
"02675",5.6,0.32,2.16,"860US02675"
"02702",0.85,0.53,0,"860US02702"
"02703",7.16,4.7,2.58,"860US02703"
"02713",26.32,0,43.48,"860US02713"
"02715",1.09,3.25,0.94,"860US02715"
"02717",2.06,0.74,0,"860US02717"
"02718",5.04,3.99,0,"860US02718"
"02719",7.84,0.18,2.25,"860US02719"
"02720",11.03,1.02,2.97,"860US02720"
"02721",23.45,2.28,3.92,"860US02721"
"02723",19.98,3.38,2.76,"860US02723"
"02724",20.1,1.46,4.62,"860US02724"
"02725",13.08,1.89,1.89,"860US02725"
