GEOID,HospTmDr,HospTmDr2,HospCntDr,HospMinDis
2205,1.06,2.12,38,0.432125824
2210,2.581882909,5.163765818,37.49620381,0.994598638
2215,1.479948083,2.959896166,36.01900958,0.556662765
2217,,,,
2222,,,,
2238,1.32,2.64,36,0.462794733
2269,6.96,13.92,32,3.58860675
2301,3.958407666,7.916815332,26.12469811,1.758853334
2302,2.903837833,5.807675666,19.93798574,1.223628544
2303,2.55,5.1,26,1.009430127
2304,5.15,10.3,19,2.248295994
2305,4.61,9.22,26,1.853959378
2322,5.077988229,10.15597646,30.99571964,2.124208404
2324,13.77156145,27.54312291,10.70550639,6.736144064
2325,,,,
2327,20.09,40.18,4,8.78245154
2330,17.14089453,34.28178906,3.436030788,7.75920316
2331,12.7,25.4,2,6.030633525
2332,13.79057713,27.58115427,3.414530586,7.731822333
2333,11.10942879,22.21885759,8.776160993,4.610298936
2334,4.52,9.04,24,2.477653136
2337,,,,
2338,19.20994779,38.41989557,5.971744472,9.338171379
2339,12.6160889,25.23217781,14.34069212,6.255083803
2341,14.77787569,29.55575138,4.01416208,6.789867609
2343,6.964878049,13.9297561,30.54343882,3.093786193
2344,,,,
2345,12.03,24.06,2,6.255903399
2346,17.0390116,34.07802319,6.874125207,9.640046348
2347,14.76221617,29.52443235,8.837668884,8.55335819
2348,,,,
2349,,,,
2350,15.86,31.72,4,7.539160326
2351,5.528033385,11.05606677,23.97601346,2.530979166
2355,,,,
2356,8.794947984,17.58989597,15.74843957,4.080429457
2357,,,,
2358,,,,
2359,18.1037098,36.2074196,4.662562814,9.824718166
2360,9.160112811,18.32022562,2.126128188,4.453007462
2361,4.57,9.14,3,1.929241205
2362,11.16,22.32,1,5.278533929
2364,10.92090953,21.84181907,2.49049862,6.25813072
2366,,,,
2367,15.04771325,30.0954265,4.982758621,8.557339506
2368,8.08567468,16.17134936,31.55357016,4.298479785
2370,7.412571989,14.82514398,19.23036393,3.767890356
