GEOID,HEROP_ID,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
21017,050US21017,1292.86,9931.03,,395.5,3038,
21097,050US21097,1292.86,9931.03,,395.5,3038,
21181,050US21181,1292.86,9931.03,,395.5,3038,
21201,050US21201,1292.86,9931.03,,395.5,3038,
40031,050US40031,480.65,9491.64,,392,7741,
28069,050US28069,7093.61,7111.76,,391,392,
48053,050US48053,1241.92,9234.79,,390,2900,
48381,050US48381,410.36,8436.1,,389,7997,
48479,050US48479,226.29,4453.97,,388,7637,
8077,050US08077,389.91,5088.99,,386,5038,
12107,050US12107,880.74,7233.55,,385,3162,
17111,050US17111,187.97,1532.24,,383,3122,
48181,050US48181,428.13,4842.81,,382,4321,
37063,050US37063,164.97,2205.5,,379,5067,
21025,050US21025,1103.53,13009.13,,378.5,4462,
21119,050US21119,1103.53,13009.13,,378.5,4462,
21193,050US21193,1103.53,13009.13,,378.5,4462,
13073,050US13073,358.48,4248.56,,377,4468,
25021,050US25021,78.97,398.82,,376,1899,
45021,050US45021,1041.29,7498.39,,373,2686,
18127,050US18127,325.32,3756.66,,367,4238,
18167,050US18167,520.83,7217.16,,364,5044,
18057,050US18057,150.94,2242.41,,362,5378,
37133,050US37133,255.27,4819.86,,362,6835,
47059,050US47059,808.34,7138.87,,362,3197,
6031,050US06031,350.71,4547.54,,359,4655,
13113,050US13113,469.66,6726.05,,358,5127,
34033,050US34033,872.35,7570.13,,357,3098,
21121,050US21121,1894.42,15032.99,,356,2825,
18091,050US18091,502.17,6406.22,,354,4516,
24043,050US24043,354.13,1564.59,,354,1564,
37147,050US37147,301.03,8037.76,,354,9452,
47031,050US47031,943.17,8174.14,,354,3068,
18067,050US18067,687.37,7393.09,,352,3786,
36071,050US36071,134.32,852.85,,352,2235,
51013,050US51013,206.17,2568.58,,351.64,4381,
47155,050US47155,567.46,9004.93,,351,5570,
37001,050US37001,302.1,6367.78,,345,7272,
47009,050US47009,391.76,5493.74,,344,4824,
17163,050US17163,211.99,4904.92,,341,7890,
21107,050US21107,1216.36,11887.33,,339,3313,
48469,050US48469,596.97,7617.94,,339,4326,
51003,050US51003,297.36,3720.74,,338.14,4231,
51125,050US51125,297.36,3720.74,,338.14,4231,
51540,050US51540,297.36,3720.74,,338.14,4231,
51770,050US51770,545.98,12458.58,,337.79,7708,
18063,050US18063,280.76,4089.81,,335,4880,
37035,050US37035,322.04,5957.34,,335,6197,
37191,050US37191,452.38,10127.88,,335,7500,
18053,050US18053,798.96,6466.28,,332,2687,
55105,050US55105,316.24,4328.36,,332,4544,
13031,050US13031,559.06,6060.09,,331,3588,
48163,050US48163,2765.48,,,331,,
13069,050US13069,1170.5,13006.77,,330,3667,
22045,050US22045,769.12,6889.48,,330,2956,
37025,050US37025,211.94,3798.28,,330,5914,
54007,050US54007,562.36,3902.46,,330,2290,
54009,050US54009,400.98,3580.85,,330,2947,
54013,050US54013,562.36,3902.46,,330,2290,
54015,050US54015,562.36,3902.46,,330,2290,
54021,050US54021,562.36,3902.46,,330,2290,
54029,050US54029,400.98,3580.85,,330,2947,
54041,050US54041,562.36,3902.46,,330,2290,
54051,050US54051,400.98,3580.85,,330,2947,
54067,050US54067,562.36,3902.46,,330,2290,
54069,050US54069,400.98,3580.85,,330,2947,
54087,050US54087,562.36,3902.46,,330,2290,
54101,050US54101,562.36,3902.46,,330,2290,
54103,050US54103,400.98,3580.85,,330,2947,
51085,050US51085,459.29,4555.28,,329.5,3268,
13247,050US13247,523.47,6143.09,,325,3814,
21195,050US21195,914.41,9847.5,,325,3500,
18081,050US18081,301.26,6022.36,,322,6437,
6017,050US06017,273.55,3824.55,,321,4488,
13155,050US13155,5564.28,52817.02,,319,3028,
21199,050US21199,774.89,9917.64,,318,4070,
55087,050US55087,255.7,4600.94,,318,5722,
22061,050US22061,949.13,5826.52,,317,1946,
40125,050US40125,669.52,8927.7,,317,4227,
21211,050US21211,995.84,14767.43,,316,4686,
36007,050US36007,250.28,2881.33,,316,3638,
21063,050US21063,599.55,9091.08,,315.5,4784,
21115,050US21115,599.55,9091.08,,315.5,4784,
21127,050US21127,599.55,9091.08,,315.5,4784,
21153,050US21153,599.55,9091.08,,315.5,4784,
21159,050US21159,599.55,9091.08,,315.5,4784,
21175,050US21175,599.55,9091.08,,315.5,4784,
24025,050US24025,185.19,2101.22,,315,3574,
17091,050US17091,463.23,6302.28,,314,4272,
48427,050US48427,773.48,6860.28,,314,2785,
22101,050US22101,1068.88,16139.06,,313,4726,
21037,050US21037,509.94,4169.39,,312,2551,
47123,050US47123,1064.41,10234.72,,312,3000,
48347,050US48347,740.93,7530.46,,312,3171,
55027,050US55027,537.39,6281.1,,311,3635,
18043,050US18043,598.63,4760.07,,310,2465,
21185,050US21185,677.88,8687.76,,310,3973,
37151,050US37151,330.99,7855.27,,307,7286,
51590,050US51590,1202.56,9365.07,,306.64,2388,
6115,050US06115,564.46,9532.89,,305,5151,
21019,050US21019,1016.77,8377.5,,305,2513,
21205,050US21205,1818.51,14977.34,,305,2512,
