"HEROP_ID","GEOID","OtpCtTmDr","OtpCtTmDr2","OtpTmDrP","OtpTmDrP2","OtpAvTmDr","OtpAvTmDr2"
"050US08063","08063",0,0,0,0,NA,NA
"050US08065","08065",0,0,0,0,NA,NA
"050US08067","08067",0,0,0,0,67.23,134.45
"050US08069","08069",77,62,89.53,72.09,15.23,30.46
"050US08071","08071",0,0,0,0,75.75,151.5
"050US08073","08073",0,0,0,0,78.62,157.24
"050US08075","08075",0,0,0,0,NA,NA
"050US08077","08077",31,30,93.94,90.91,7.41,14.82
"050US08079","08079",0,0,0,0,NA,NA
"050US08081","08081",0,0,0,0,NA,NA
"050US08083","08083",0,0,0,0,75.09,150.17
"050US08085","08085",9,7,75,58.33,21.6,43.2
"050US08087","08087",0,0,0,0,60.08,120.17
"050US08089","08089",0,0,0,0,56.16,112.31
"050US08091","08091",0,0,0,0,35.03,70.07
"050US08093","08093",0,0,0,0,64.33,128.66
"050US08095","08095",0,0,0,0,NA,NA
"050US08097","08097",0,0,0,0,54.82,109.64
"050US08099","08099",4,3,80,60,17.63,35.27
"050US08101","08101",55,49,94.83,84.48,8.17,16.34
"050US08103","08103",0,0,0,0,73.33,146.66
"050US08105","08105",2,0,50,0,35.13,70.26
"050US08107","08107",0,0,0,0,NA,NA
"050US08109","08109",0,0,0,0,66.35,132.7
"050US08111","08111",0,0,0,0,89.77,179.54
"050US08113","08113",0,0,0,0,83.11,166.22
"050US08115","08115",0,0,0,0,NA,NA
"050US08117","08117",0,0,0,0,70.6,141.21
"050US08119","08119",3,0,37.5,0,39.63,79.27
"050US08121","08121",0,0,0,0,81.8,163.6
"050US08123","08123",81,61,97.59,73.49,10.88,21.76
"050US08125","08125",0,0,0,0,NA,NA
"050US09001","09001",0,0,0,0,NA,NA
"050US09003","09003",0,0,0,0,NA,NA
"050US09005","09005",0,0,0,0,NA,NA
"050US09007","09007",0,0,0,0,NA,NA
"050US09009","09009",0,0,0,0,NA,NA
"050US09011","09011",0,0,0,0,NA,NA
"050US09013","09013",0,0,0,0,NA,NA
"050US09015","09015",0,0,0,0,NA,NA
"050US10001","10001",41,34,100,82.93,8.83,17.67
"050US10003","10003",144,133,100,92.36,6.74,13.48
"050US10005","10005",73,52,98.65,70.27,11.27,22.53
"050US11001","11001",206,206,100,100,3.69,7.38
"050US12001","12001",58,43,100,74.14,10.92,21.85
"050US12003","12003",2,0,50,0,34.91,69.81
"050US12005","12005",46,31,93.88,63.27,13.45,26.9
"050US12007","12007",1,0,16.67,0,33.51,67.02
"050US12009","12009",143,105,97.28,71.43,11.66,23.33
"050US12011","12011",412,403,99.04,96.88,6.35,12.7
"050US12013","12013",0,0,0,0,53.22,106.44
"050US12015","12015",46,24,100,52.17,14.35,28.71
"050US12017","12017",37,9,90.24,21.95,21.54,43.09
"050US12019","12019",40,26,88.89,57.78,15.48,30.96
"050US12021","12021",99,62,91.67,57.41,15.04,30.08
"050US12023","12023",11,7,84.62,53.85,15.35,30.7
"050US12027","12027",2,0,22.22,0,37.38,74.76
"050US12029","12029",0,0,0,0,67.82,135.63
"050US12031","12031",218,182,100,83.49,10.07,20.13
"050US12033","12033",76,65,97.44,83.33,10.8,21.6
"050US12035","12035",23,20,100,86.96,10.88,21.76
"050US12037","12037",0,0,0,0,67.41,134.81
"050US12039","12039",4,0,40,0,30.59,61.18
"050US12041","12041",0,0,0,0,39.15,78.29
"050US12043","12043",0,0,0,0,64.13,128.26
"050US12045","12045",0,0,0,0,47.34,94.68
"050US12047","12047",5,0,83.33,0,24.42,48.85
"050US12049","12049",0,0,0,0,46.89,93.79
"050US12051","12051",2,0,20,0,50.46,100.92
"050US12053","12053",44,34,95.65,73.91,10.96,21.93
"050US12055","12055",0,0,0,0,65.22,130.44
"050US12057","12057",330,259,99.1,77.78,10.65,21.3
"050US12059","12059",0,0,0,0,49.97,99.94
"050US12061","12061",44,34,100,77.27,11.42,22.83
"050US12063","12063",0,0,0,0,49.88,99.76
"050US12065","12065",2,0,40,0,32.72,65.44
"050US12067","12067",0,0,0,0,38.31,76.63
"050US12069","12069",68,26,90.67,34.67,19.07,38.14
"050US12071","12071",212,113,95.5,50.9,15.98,31.96
"050US12073","12073",78,64,98.73,81.01,10.25,20.5
"050US12075","12075",4,0,33.33,0,36.95,73.91
"050US12077","12077",0,0,0,0,57.58,115.16
"050US12079","12079",1,0,20,0,33.4,66.8
"050US12081","12081",90,71,96.77,76.34,9.89,19.77
"050US12083","12083",85,39,91.4,41.94,16.49,32.98
"050US12085","12085",38,32,90.48,76.19,11.24,22.47
"050US12086","12086",702,556,99.43,78.75,10.77,21.54
"050US12087","12087",0,0,0,0,71.84,143.69
"050US12089","12089",10,0,43.48,0,29.5,59
"050US12091","12091",38,21,79.17,43.75,19.6,39.2
"050US12093","12093",0,0,0,0,43.74,87.49
"050US12095","12095",267,234,100,87.64,8.74,17.48
"050US12097","12097",57,44,96.61,74.58,11.69,23.38
"050US12099","12099",354,329,95.16,88.44,8.49,16.99
"050US12101","12101",121,75,93.08,57.69,14.31,28.63
"050US12103","12103",273,207,100,75.82,11.85,23.71
"050US12105","12105",150,74,86.21,42.53,18.29,36.59
"050US12107","12107",12,7,70.59,41.18,20.08,40.16
"050US12109","12109",50,22,100,44,16.33,32.66
"050US12111","12111",67,61,100,91.04,8.79,17.57
