"HEROP_ID","GEOID","TotTracts","NaltCtTmDr","NaltCtTmDr2","NaltTmDrP","NaltTmDrP2","NaltAvTmDr","NaltAvTmDr2"
"050US13113","13113",24,24,3,100,12.5,19.4,38.79
"050US13115","13115",26,10,0,38.46,0,32.93,65.85
"050US13117","13117",48,48,43,100,89.58,11.08,22.17
"050US13119","13119",8,3,0,37.5,0,30.66,61.32
"050US13121","13121",327,326,325,99.69,99.39,6.41,12.83
"050US13123","13123",8,0,0,0,0,51.57,103.14
"050US13125","13125",1,0,0,0,0,51.92,103.84
"050US13127","13127",25,25,22,100,88,7.85,15.7
"050US13129","13129",15,9,0,60,0,29.76,59.51
"050US13131","13131",8,6,0,75,0,27.61,55.22
"050US13133","13133",8,1,0,12.5,0,41.02,82.05
"050US13135","13135",220,220,200,100,90.91,9.39,18.77
"050US13137","13137",11,11,3,100,27.27,20.62,41.24
"050US13139","13139",50,50,35,100,70,12.55,25.09
"050US13141","13141",2,0,0,0,0,42.7,85.4
"050US13143","13143",8,7,0,87.5,0,24.17,48.34
"050US13145","13145",7,3,0,42.86,0,31.2,62.4
"050US13147","13147",10,7,0,70,0,25.69,51.38
"050US13149","13149",3,2,0,66.67,0,26.21,52.43
"050US13151","13151",59,59,53,100,89.83,9.62,19.24
"050US13153","13153",38,26,0,68.42,0,30.08,60.15
"050US13155","13155",3,1,0,33.33,0,37.39,74.79
"050US13157","13157",17,17,14,100,82.35,11.93,23.85
"050US13159","13159",5,0,0,0,0,35.61,71.23
"050US13161","13161",5,0,0,0,0,48.74,97.48
"050US13163","13163",4,0,0,0,0,36.54,73.07
"050US13165","13165",2,0,0,0,0,41.34,82.67
"050US13167","13167",4,1,0,25,0,38.62,77.25
"050US13169","13169",9,9,3,100,33.33,18.39,36.77
"050US13171","13171",4,4,0,100,0,21.2,42.39
"050US13173","13173",3,2,0,66.67,0,27.64,55.27
"050US13175","13175",14,10,9,71.43,64.29,22.6,45.21
"050US13177","13177",8,8,4,100,50,15.38,30.76
"050US13179","13179",17,16,12,94.12,70.59,11.77,23.54
"050US13181","13181",2,0,0,0,0,40.38,80.75
"050US13183","13183",5,5,0,100,0,27.03,54.06
