HEROP_ID,HospMinDis
140US01003011601,7.475835782
140US01125011901,1.362289008
140US01087231603,9.14382629
140US01125010205,7.419455144
140US01125012001,0.911061295
140US01015001201,3.556957113
140US01131035100,10.89733105
140US01125010704,10.20276254
140US01051030103,10.99167145
140US01117030212,1.354188313
140US01115040401,15.53038236
140US01051030102,7.662702829
140US01051031002,4.655910673
140US01127020801,7.094649073
140US01127020802,7.788357728
140US01103005106,3.998895687
140US01103005107,6.468534913
140US01051030702,2.318416462
140US01051030701,6.627710088
140US01001020902,13.57709021
140US01001020804,3.032109672
140US01117980000,6.793972949
140US01117030337,5.118985912
140US01117030320,1.547480158
140US01117030306,1.710051236
140US01117030316,3.664256555
140US01117030703,13.88407226
140US01117030331,3.867962339
140US01073011109,6.319943439
140US01073011110,10.33511978
140US01097006407,9.575888544
140US01097006501,6.653123448
140US01097007400,4.511972391
140US01097003706,1.856758847
140US01133965501,17.09601915
140US01013953500,17.41010104
140US01033020703,2.063364609
140US01073005909,3.385687732
140US01073011208,5.279809049
140US01073004901,0.739849013
140US01073010802,1.963985634
140US01073005800,1.884096489
140US01073014412,3.971207158
140US01073011301,12.21760091
140US01055000200,1.650009666
140US01055010100,5.432308364
140US01121010102,10.05818307
140US01121010700,2.73086433
140US01081042005,6.497174436
140US01081042003,8.183155709
140US01113030402,2.283480008
140US01113030500,2.832991067
140US01089002502,1.528211438
140US01089002722,3.612957573
140US01089011100,6.224918449
140US01045020400,2.642202899
140US01045020801,4.176650242
140US01025957601,10.24706712
140US01101005502,7.656331691
140US01123962200,4.600106592
140US01123962501,6.264013767
140US01089011203,11.36046434
140US01073011114,5.91161283
140US01073014414,5.738507064
140US01073012003,5.452093942
140US01073010806,3.480704442
140US01073012916,2.247262793
140US01073014107,14.7010798
140US01073011708,9.616642206
140US01073010807,4.183413764
140US01073011004,7.724842924
140US01073010605,4.052013096
140US01073012004,6.375061267
140US01073011304,13.31481023
140US01089011301,9.901963132
140US01089010303,12.63377907
140US01089010629,5.957781209
140US01089010627,1.673214511
140US01089011024,6.404948502
140US01089011302,10.9700648
140US01089010631,3.609140071
140US01089010904,6.889986111
140US01089002924,6.589048781
140US01089010905,6.054437438
140US01089011027,5.036135811
140US01089010705,6.767994678
140US01073014209,4.738288831
140US01073014207,6.353978667
140US01073014303,5.285131325
140US01073002402,1.530829698
140US01073012917,2.973704257
140US01117030346,2.414520778
140US01097006413,7.115129708
140US01117030219,10.82265194
140US01117030610,3.838142552
140US01117030503,9.223803427
140US01117030349,6.16887452
140US01117030221,2.253655539
140US01117030504,11.52074392
140US01103005305,8.975503652
140US01103005201,14.41866318
140US01103005703,10.87722995
140US01103005202,9.237436822
140US01097006305,10.75442356
140US01097005601,11.40014283
140US01097005602,9.734362942
140US01097006107,9.214903151
140US01097006201,14.07666366
140US01097003409,5.623268118
140US01097000801,0.635889528
140US01097006904,4.73877307
140US01097006307,6.739793414
140US01049960701,9.440830452
140US01049960402,4.566469543
140US01009050105,5.484016846
140US01009050701,10.15330365
140US01009050106,1.273209266
140US01049960602,11.57127239
140US01049960703,6.194256278
140US01049960401,7.271196107
140US01071950901,6.091614091
140US01079979502,6.174091889
140US01015001501,6.723475046
140US01015001101,5.826833157
140US01019955801,7.852602111
140US01019956102,9.179596606
140US01055010201,5.210717622
140US01055010202,6.73190183
140US01077011401,11.4017013
140US01055010503,7.279872542
140US01093964702,3.251791241
140US01077011503,4.408597397
140US01093964401,3.760104258
140US01101005903,13.6757921
140US01101005414,2.509996292
140US01101005413,1.978604576
140US01101002902,1.755609348
140US01101005904,6.626705282
140US01071950601,7.330288885
140US01011952201,3.423861978
140US01031011203,2.294050647
140US01113030903,6.503421666
140US01113030905,7.961905026
140US01113030904,8.776285233
140US01047956102,11.19922632
140US01017954002,13.23077731
140US01015002504,10.5582867
140US01071951102,8.970244049
140US01071950102,20.96711997
140US01095030803,3.672302114
140US01015002001,11.08984204
140US01095030204,16.17173418
140US01091973001,18.74941256
140US01123962302,6.262772667
140US01081040501,4.423990176
140US01081041101,1.648567501
140US01081041701,3.165104004
140US01081040502,9.536714338
140US01081042104,9.029531517
140US01081041903,12.91872215
140US01081041103,2.017694745
140US01081040403,5.839480148
140US01081040903,4.833798427
140US01043964902,1.77697731
140US01043964201,5.472817442
140US01043964202,5.874974874
140US01021060702,10.9641857
140US01089010302,14.53086087
140US01089002922,5.974484194
140US01021060403,12.4811516
140US01119011301,11.92325271
140US01007010010,2.265141548
140US01115040504,12.44930544
140US01003010709,4.769543668
140US01003011104,2.541139075
140US01003010707,7.71910052
140US01003011412,8.864050366
140US01003010908,8.675692558
140US01003010907,6.671548967
140US01003011410,6.820261186
140US01003011418,11.27524791
140US01003011419,15.44337295
140US01003010708,5.10273434
140US01003011414,12.12270808
140US01105687001,14.48449804
140US01083020404,10.65529694
140US01083021202,8.874133439
140US01083020104,11.83734424
140US01115040110,8.567855063
140US01115040207,2.774547278
140US01007010011,8.952115618
140US01007010008,9.287177334
140US01115040301,8.787527892
140US01115040507,10.3507785
140US01115040109,4.555953867
140US01121010201,11.33694336
140US01043965600,13.58665327
140US01043965402,10.16354014
140US01043965200,6.2032997
140US01059972900,5.589758972
140US01123962600,6.130934712
140US01047957100,11.09570972
140US01049960900,4.722687874
140US01003011202,1.38485948
140US01121010202,9.69239217
140US01053970600,5.269719087
140US01055001100,3.301878566
140US01055011200,0.551781962
140US01055011002,7.202744759
140US01055011100,12.92597242
140US01077011801,18.94401581
140US01035960200,12.09004495
140US01039962400,4.590391187
140US01127021200,11.34019321
140US01129044200,18.60845483
140US01095030402,19.50373044
140US01095030702,10.14500834
140US01073012001,7.156419899
140US01073003600,3.157559183
140US01073001600,2.167061415
140US01073013801,3.848647275
140US01073004000,0.417407812
140US01073004702,1.138984521
140US01073010804,3.150718231
140US01073011500,15.80397651
140US01103000600,2.624823674
140US01125010406,2.567146347
140US01125012503,4.899821634
140US01091973200,8.751391221
140US01075030000,13.90083956
140US01107050200,14.71612672
140US01127021900,12.42209423
140US01127020600,3.709226761
140US01015001400,4.298541435
140US01015002101,12.91678542
140US01013952700,6.17012281
140US01079979600,7.952038654
140US01051030600,3.800425585
140US01015981903,5.337101133
140US01043965502,9.239978774
140US01055010401,3.445169274
140US01087232000,14.84766339
140US01117030211,6.849050623
140US01117030502,12.08476335
140US01117030103,15.08933548
140US01117030405,12.76785944
140US01069040100,8.203568269
140US01003011504,3.802174334
140US01005950400,15.76664821
140US01003011201,1.29513805
140US01003011103,3.390030272
140US01097006600,11.93319438
140US01097006104,13.56377529
140US01073014405,2.12532465
140US01073014410,6.980825134
140US01083020806,5.853869168
140US01097001002,1.646834158
140US01097002400,2.011198573
140US01097005500,8.046362847
140US01097006403,3.333036415
140US01097003704,1.314288352
140US01117030336,3.627214516
140US01101005609,4.257818726
140US01101005504,9.489394776
140US01097007201,11.61153455
140US01115040108,8.785019765
140US01115040107,10.35792676
140US01107050401,18.54781019
140US01131034801,5.804767283
140US01133965601,16.93256255
140US01125012306,0.765950687
140US01071950602,4.416914982
140US01095030102,15.26773054
140US01109189001,4.487615589
140US01095030206,18.25000066
140US01095030301,18.98344654
140US01095030501,19.30060768
140US01081042103,12.09317394
140US01081040401,7.001613405
140US01081040606,7.484065106
140US01007010006,14.24679267
140US01103005601,14.03469953
140US01103005302,9.915183369
140US01065040401,5.055196991
140US01075030102,12.99757053
140US01045020000,6.947879431
140US01097005702,14.77796243
140US01097006504,11.40778546
140US01097003712,0.230876082
140US01097006903,4.095136664
140US01111000600,10.00164405
140US01051030402,3.137691341
140US01127020301,0.842402406
140US01121010301,3.513908437
140US01089011012,3.611391565
140US01015002503,9.509725156
140US01015001802,7.453433181
