GEOID,HEROP_ID,MhCntDr,MhTmDr,MhTmDr2
1111000500,140US01111000500,0,34.59,69.18
1039961800,140US01039961800,2,5.42,10.84
1039961900,140US01039961900,2,0,0
1039962900,140US01039962900,2,23.65,47.3
1043964500,140US01043964500,1,20.13,40.26
1043964400,140US01043964400,1,28.14,56.28
1039963000,140US01039963000,0,32.21,64.42
1033020802,140US01033020802,3,15.22,30.44
1033020500,140US01033020500,2,5.68,11.36
1035960600,140US01035960600,0,38.34,76.68
1025957902,140US01025957902,0,47.54,95.08
1049961200,140US01049961200,3,9.2,18.4
1003011102,140US01003011102,1,20.47,40.94
1003011300,140US01003011300,1,22.01,44.02
1003010903,140US01003010903,5,18.63,37.26
1003010904,140US01003010904,1,28.61,57.22
1003011000,140US01003011000,1,29.66,59.32
1053970100,140US01053970100,0,33.23,66.46
1047956500,140US01047956500,1,8.37,16.74
1055000300,140US01055000300,2,3.67,7.34
1077010300,140US01077010300,2,4.69,9.38
1077010800,140US01077010800,2,7.74,15.48
1003010200,140US01003010200,0,35.64,71.28
1003010500,140US01003010500,2,27.77,55.54
