HEROP_ID,GEOID,HospCntDr,HospTmDr,HospTmDr2,HospTmDrP,HospTmDrP2,HospAvTmDr,HospAvTmDr2
050US13243,13243,2,0,0,0,0,0,0
050US13245,13245,56,56,53,100,94.64,56,53
050US13247,13247,24,24,23,100,95.83,24,23
050US13249,13249,2,2,1,100,50,2,1
050US13251,13251,6,6,3,100,50,6,3
050US13253,13253,3,3,2,100,66.67,3,2
050US13255,13255,17,17,15,100,88.24,17,15
050US13257,13257,8,8,7,100,87.5,8,7
050US13259,13259,2,0,0,0,0,0,0
050US13261,13261,8,8,5,100,62.5,8,5
050US13263,13263,3,3,0,100,0,3,0
050US13265,13265,1,1,0,100,0,1,0
050US13267,13267,7,7,4,100,57.14,7,4
050US13269,13269,4,1,0,25,0,1,0
050US13271,13271,5,2,0,40,0,2,0
050US13273,13273,4,2,0,50,0,2,0
050US13275,13275,14,14,10,100,71.43,14,10
050US13277,13277,12,12,12,100,100,12,12
050US13279,13279,9,9,5,100,55.56,9,5
050US13281,13281,4,4,3,100,75,4,3
050US13283,13283,2,2,0,100,0,2,0
050US13285,13285,18,18,12,100,66.67,18,12
050US13287,13287,3,2,0,66.67,0,2,0
050US13289,13289,3,3,0,100,0,3,0
050US13291,13291,8,7,2,87.5,25,7,2
050US13293,13293,8,8,7,100,87.5,8,7
050US13295,13295,18,15,8,83.33,44.44,15,8
050US13297,13297,20,20,13,100,65,20,13
050US13299,13299,10,9,6,90,60,9,6
050US13301,13301,2,2,0,100,0,2,0
050US13303,13303,5,4,2,80,40,4,2
050US13305,13305,7,7,5,100,71.43,7,5
050US13307,13307,2,1,0,50,0,1,0
050US13309,13309,2,0,0,0,0,0,0
050US13311,13311,9,6,1,66.67,11.11,6,1
050US13313,13313,22,22,20,100,90.91,22,20
050US13315,13315,4,4,0,100,0,4,0
050US13317,13317,4,4,2,100,50,4,2
050US13319,13319,3,2,0,66.67,0,2,0
050US13321,13321,6,6,2,100,33.33,6,2
050US15001,15001,43,28,17,65.12,39.53,28,17
050US15003,15003,329,307,265,93.31,80.55,307,265
050US15005,15005,1,0,1,0,100,0,1
050US15007,15007,18,16,10,88.89,55.56,16,10
050US15009,15009,45,32,17,71.11,37.78,32,17
050US16001,16001,129,128,121,99.22,93.8,128,121
050US16003,16003,2,0,0,0,0,0,0
050US16005,16005,24,23,18,95.83,75,23,18
050US16007,16007,2,2,1,100,50,2,1
050US16009,16009,2,1,1,50,50,1,1
050US16011,16011,10,7,5,70,50,7,5
050US16013,16013,8,2,2,25,25,2,2
050US16015,16015,3,0,1,0,33.33,0,1
050US16017,16017,16,12,7,75,43.75,12,7
050US16019,16019,24,23,22,95.83,91.67,23,22
050US16021,16021,2,1,1,50,50,1,1
050US16023,16023,1,1,1,100,100,1,1
050US16025,16025,1,0,0,0,0,0,0
050US16027,16027,54,54,50,100,92.59,54,50
050US16029,16029,2,1,1,50,50,1,1
050US16031,16031,6,4,3,66.67,50,4,3
050US16033,16033,1,0,0,0,0,0,0
050US16035,16035,3,2,2,66.67,66.67,2,2
050US16037,16037,1,0,1,0,100,0,1
050US16039,16039,7,5,3,71.43,42.86,5,3
050US16041,16041,2,1,1,50,50,1,1
050US16043,16043,4,0,0,0,0,0,0
