HEROP_ID,ZIP,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
860US13057,13057,2.07283581989,4.14567163978,63.646321959,1.0950104211225433
860US13060,13060,0.17321573668,0.34643147336,48.01356852199999,1.2888280630473703
860US13061,13061,10.79586648556,21.59173297112,12.19460226,5.512440279639266
860US13062,13062,9.01,18.02,14.0,3.823571422
860US13063,13063,10.38124498016,20.76248996032,45.092369476,6.811177884935377
860US13064,13064,11.35,22.7,8.0,4.48229019
860US13065,13065,9.2025,18.405,10.25,4.195315893
860US13066,13066,1.3819670624380327,2.7639341248760654,61.97490196002509,1.5138812269633386
860US13068,13068,7.840011863779999,15.680023727559998,14.351383397000001,3.4274705793445244
860US13069,13069,4.331351772642703,8.662703545285407,32.96205535692411,2.2191334644120544
860US13071,13071,24.32,48.64,3.0,7.080793058
860US13072,13072,18.42251928112,36.84503856224,6.958868894,10.433411015806929
860US13073,13073,11.80929770304,23.61859540608,12.645083933000002,6.203813160696408
860US13074,13074,0.5669790646530208,1.1339581293060417,11.818045858181952,1.5108721881795584
860US13076,13076,5.918577365719999,11.837154731439998,40.982346826,4.360036218253713
860US13077,13077,6.027165172867166,12.054330345734332,15.121492348121492,3.673385779690672
860US13078,13078,4.189091889489999,8.378183778979999,62.434473855,2.844825869258626
860US13080,13080,2.1489424203499996,4.297884840699999,42.027614574000005,1.5443565033682018
860US13081,13081,24.623597250203595,49.24719450040719,3.1910499101910497,7.353454485910073
860US13082,13082,7.225816750944182,14.451633501888365,55.65201295934798,3.8889434409896024
860US13083,13083,10.415329091999999,20.830658183999997,6.487261143,6.802615648132021
860US13084,13084,9.112460859654922,18.224921719309844,61.727005891454006,6.497015836695825
860US13087,13087,7.591176470800001,15.182352941600001,15.470588241999998,4.671033577647323
860US13088,13088,2.57531938571,5.15063877142,64.74492080099999,0.8797689031085622
860US13089,13089,0.0,0.0,61.0,0.21423807
860US13090,13090,2.6229044434929043,5.245808886985809,59.74753121774753,1.2766145162635354
860US13092,13092,19.53068182137,39.06136364274,8.356060607,4.806180069449544
860US13093,13093,8.96,17.92,7.0,5.396507579
