GEOID,MhTmDr,MhTmDr2,MhCntDr,MhMinDis
1803,5.438657473,10.87731495,98.6866271,2.016897942
1805,,,,
1810,5.375378399,10.7507568,75.95463137,3.120372878
1812,,,,
1821,6.125756316,12.25151263,74.71238792,3.197945522
1822,4.95,9.9,65,4.065424666
1824,5.756429599,11.5128592,52.8155157,2.163946541
1826,5.269143398,10.5382868,41.77997354,2.781116401
1827,12.06757851,24.13515703,32.99669422,5.856922519
1830,1.826792791,3.653585581,37.22353541,1.120844658
1831,0,0,38,0.32802271
1832,2.954799965,5.909599931,37.75910549,1.535258565
1833,10.23050654,20.46101308,34.31255218,4.061513628
1834,5.71,11.42,37,1.770352727
1835,3.602799878,7.205599756,39.39993857,1.259605409
1840,0.342637866,0.685275733,61.85463787,0.188124934
1841,1.500816087,3.001632173,60.20040737,0.465708425
1842,0,0,62,0.169214984
1843,1.615689049,3.231378099,64.29133292,0.965508588
1844,3.767865216,7.535730433,58.71632774,1.551269588
1845,4.819185763,9.638371527,56.47336723,2.522490068
1850,2.150103601,4.300207201,47.9901332,0.924920276
1851,1.046227581,2.092455162,54.82528105,0.629384512
1852,2.151028907,4.302057814,58.18502728,0.579311487
1853,0,0,52,0.247623982
1854,1.359737783,2.719475567,46.7031015,0.986974736
1860,5.216244828,10.43248966,34.82,2.508064587
1862,2.18756308,4.37512616,61.43492696,3.317228837
1863,1.131947431,2.263894861,43.09896455,0.817361498
1864,4.70221955,9.404439099,86.2722631,2.136739478
1865,5.96,11.92,70,3.022192048
1866,,,,
1867,4.869524796,9.739049592,96.68984662,1.738160964
1876,3.216742386,6.433484773,83.43283908,1.424811788
1879,7.412700922,14.82540184,35.01356629,3.504749332
1880,3.496274296,6.992548592,93.95692739,0.909016601
1885,,,,
1886,7.715335262,15.43067052,46.41333814,4.582707086
1887,6.478552862,12.95710572,95.64547838,2.424268577
1888,0,0,106,1.013526873
1889,,,,
1890,2.429657795,4.85931559,105.4619229,1.822405295
1899,,,,
1901,0.277560871,0.555121742,71.06962836,0.214110625
1902,1.468000337,2.936000674,69.65642909,0.660223169
1903,0,0,70,0.091927118
1904,4.148844595,8.29768919,69.13762907,1.761194017
1905,2.346103981,4.692207962,75.53227307,1.36123163
1906,3.762381219,7.524762439,83.14012381,2.891835198
1907,3.430996667,6.861993334,59.26799942,1.484670552
1908,6.48,12.96,54,2.496496678
1910,,,,
1913,2.333277495,4.666554991,29.40250712,0.914164205
1915,2.755717087,5.511434173,36.47105305,1.132453204
1921,14.94157517,29.88315035,46.06082346,5.87655643
1922,6.781260204,13.56252041,24.03112244,2.274060391
1923,2.416060507,4.832121015,66.41527196,2.361573508
1929,11.55298917,23.10597833,14.00637349,4.921582966
1930,3.272568662,6.545137324,11.95784137,1.285414213
1931,3.11,6.22,11,0.924878156
1936,10.46,20.92,15,4.799053628
1937,6.41,12.82,69,3.071272845
1938,8.333129577,16.66625915,21.48142228,4.617571395
1940,6.645502182,13.29100436,80.94113537,1.554045399
1944,9.433243134,18.86648627,14.99761241,5.371566832
1945,2.173417621,4.346835242,46.60826282,1.190753208
1949,9.473660192,18.94732038,68.65691552,5.574044464
1950,9.308239983,18.61647997,28.15258123,3.767380336
1951,6.794208378,13.58841676,23.99897855,2.285386315
1952,9.306148648,18.6122973,25.21256392,4.125152674
1960,4.118890318,8.237780637,69.43191461,1.55640932
1961,0,0,67,1.002364158
1965,7.41,14.82,21,3.222980453
1966,8.636412681,17.27282536,7.000556173,2.677231122
1969,0.004538152,0.009076305,22.00133869,1.157201722
1970,3.157048684,6.314097367,54.94796241,0.844540984
1971,4.09,8.18,51,0.816772959
1982,9.791310586,19.58262117,19.45057399,4.95693916
1983,8.068164983,16.13632997,48.96464646,5.989977647
1984,6.16,12.32,30,2.777967428
1985,12.08,24.16,29,3.382431316
2018,5.31,10.62,84,2.315777577
2019,6.07720401,12.15440802,38.77900944,3.374303407
2020,18.81,37.62,16,8.704261735
2021,6.807442819,13.61488564,90.76779506,2.065804106
2025,13.09230567,26.18461134,40.38734244,5.928653913
2026,2.459218974,4.918437948,97.52044476,1.012628128
2027,3.88,7.76,97,1.433728924
2030,7.682346558,15.36469312,79.03555388,1.801062505
2032,5.236559139,10.47311828,97.98719918,2.245639605
2035,8.937653684,17.87530737,64.12306429,4.224009095
2038,4.835952737,9.671905474,34.91790606,6.471215333
2041,17.19,34.38,21,7.881206331
2043,6.522891503,13.04578301,74.53607489,3.273919482
2044,,,,
2045,14.44238492,28.88476983,34.78158669,6.064159379
2047,14.77,29.54,23,6.640904508
2048,5.562672544,11.12534509,57.27624117,5.517986522
2050,15.26508998,30.53017997,27.32282907,7.581664037
2051,13.67,27.34,27,7.535667533
2052,13.37745956,26.75491912,48.78078021,4.599023696
2053,8.933123872,17.86624774,26.72146201,4.249627947
2054,13.29389279,26.58778557,31.12725451,6.802350107
2056,9.787848018,19.57569604,38.8662048,5.351841256
2059,,,,
2060,14.76,29.52,17,6.811219819
2061,4.293135645,8.58627129,50.75435782,2.50942484
2062,2.861333999,5.722667999,96.9549633,1.054619404
2065,18.81,37.62,16,8.704261735
2066,13.72989445,27.4597889,24.29519918,6.319275464
2067,4.009374032,8.018748064,81.98973133,2.901770719
2070,,,,
2071,7.36,14.72,90,1.777305307
2072,4.630934185,9.261868369,80.02273633,1.448780304
2081,7.838035494,15.67607099,83.44636639,2.127442146
2090,5.478703963,10.95740793,95.5010101,1.683361406
2093,10.40111478,20.80222957,48.12573914,6.342279444
2108,2.290310204,4.580620409,109.4893878,0.42065019
2109,0.969485692,1.938971383,111.0201083,0.196278759
2110,1.69123391,3.38246782,113.7705282,0.253816145
2111,2.856477187,5.712954373,111.654943,0.156459608
2112,2.35,4.7,113,0.094285045
2113,0.521364241,1.042728482,110.9410982,0.140081058
2114,1.43321653,2.866433059,111.2764771,0.269452166
2115,1.257371109,2.514742218,105.3659209,0.424643913
2116,2.402970669,4.805941337,107.6832105,0.622490848
2117,2.01,4.02,107,0.71666724
2118,1.287998064,2.575996129,109.3220407,0.350076326
2119,1.287323596,2.574647191,105.9900569,0.344991483
2120,1.260038147,2.520076295,104.8476839,0.401750554
2121,2.374411446,4.748822891,102.9362605,0.762785775
2122,2.780371667,5.560743335,99.77622105,0.730290392
2123,1.28,2.56,107,0.425758793
2124,1.692824058,3.385648115,97.7162319,0.48161995
2125,2.452388874,4.904777748,106.8975108,0.940178843
2126,2.671096327,5.342192654,97.83845154,1.0558378
2127,1.526752733,3.053505466,108.831429,0.610854741
2128,1.557719101,3.115438203,97.09629944,0.570039624
2129,1.281302508,2.562605016,107.6699909,0.430421783
2130,1.013649171,2.027298341,100.4431687,0.407490138
2131,3.758868563,7.517737127,99.06108668,1.261701282
2132,2.470564937,4.941129874,99.037429,0.857378138
2133,,,,
2134,1.306211301,2.612422602,97.2931822,0.40787812
2135,1.745407562,3.490815124,94.04095549,0.652896322
2136,4.050523708,8.101047417,98.42985116,1.842939169
2137,4.32,8.64,96,2.137242662
2138,1.14548646,2.29097292,105.0231396,0.396385339
2139,1.96411296,3.92822592,102.2449316,0.777621032
2140,2.223226208,4.446452416,111.8633948,0.768167914
2141,2.449777489,4.899554978,107.4826607,0.966817882
2142,3.105323871,6.210647742,106.3636129,1.139502752
2143,1.20600488,2.41200976,106.5468619,0.505010105
2144,1.987339653,3.974679305,114.1281248,0.523666881
2145,1.965530007,3.931060014,111.6260412,0.838076191
2148,2.651243137,5.302486274,102.9041698,1.140288696
2149,1.483454459,2.966908917,101.6768565,0.722883704
2150,1.131521113,2.263042226,96.47502307,0.432403243
2151,2.217248838,4.434497676,87.47740401,1.020865926
2152,5.282955416,10.56591083,82.52196298,2.56778368
2155,2.883879454,5.767758908,113.3725695,1.129787777
2163,2.86,5.72,98,0.757924751
2169,1.425709968,2.851419935,91.19225967,0.68515401
2170,2.907897505,5.815795009,92.94875245,1.194968998
2171,4.869312638,9.738625276,94.26607539,2.031132632
2176,5.422315735,10.84463147,97.86516173,2.171190051
2180,5.174633518,10.34926704,102.9395551,1.908753436
2184,2.327067928,4.654135856,88.31109035,1.041346557
2185,3.72,7.44,97,0.971880916
2186,3.868112217,7.736224434,95.37093318,1.828096826
2188,1.293032007,2.586064015,85.3657426,0.614847584
2189,1.732577539,3.465155078,81.8602181,1.038956267
2190,1.043846071,2.087692143,81.83929915,1.154836894
2191,3.521751176,7.043502353,81.55906953,2.157491925
2196,2.35,4.7,113,0.094285045
2199,1.72,3.44,107,0.738443669
2201,,,,
2203,1.28,2.56,115,0.265692984
2205,2.35,4.7,113,0.094285045
2210,2.623912603,5.247825206,111.0266577,0.711504843
2215,1.433667732,2.867335464,104.410623,0.698945371
2217,,,,
2222,,,,
2238,1.5,3,104,0.517761596
2269,0,0,92,0.122320545
2301,2.103826676,4.207653352,72.96276766,0.833958024
2302,2.244524476,4.489048952,64.46029966,0.886644988
2303,0,0,69,0.414072153
2304,2.38,4.76,67,0.59846889
2305,3.04,6.08,68,1.15991481
2322,5.973600856,11.94720171,85.98608882,2.450981874
2324,10.96402753,21.92805506,51.04424779,5.182686871
2325,,,,
2327,16.91,33.82,33,6.311961056
2330,12.42411067,24.84822134,16.18285833,6.336840624
2331,10.47,20.94,22,3.743903068
2332,11.55448498,23.10896997,26.24422079,5.213468
2333,7.370538699,14.7410774,43.72105264,2.755502395
2334,5.23,10.46,67,2.038278459
2337,,,,
2338,15.1302242,30.2604484,31.02825553,6.87087626
2339,8.115539977,16.23107995,53.77476133,2.640023463
2341,10.69897325,21.3979465,33.03894572,4.315141756
2343,5.259060672,10.51812134,82.64402339,2.673802047
2344,,,,
2345,16.73,33.46,7,8.94524686
2346,5.954171216,11.90834243,34.989838,3.42740763
2347,8.32071789,16.64143578,40.50292397,4.333899863
2348,,,,
2349,,,,
2350,11.78,23.56,33,5.09290744
