"HEROP_ID","GEOID","MetCtTmDr","MetCtTmDr2","MetTmDrP","MetTmDrP2","MetAvTmDr","MetAvTmDr2"
"050US08073","08073",0,0,0,0,78.62,157.24
"050US08075","08075",0,0,0,0,NA,NA
"050US08077","08077",31,26,93.94,78.79,9.46,18.92
"050US08079","08079",0,0,0,0,NA,NA
"050US08081","08081",0,0,0,0,NA,NA
"050US08083","08083",0,0,0,0,NA,NA
"050US08085","08085",9,7,75,58.33,21.6,43.2
"050US08087","08087",0,0,0,0,60.08,120.17
"050US08089","08089",0,0,0,0,59.86,119.72
"050US08091","08091",0,0,0,0,35.03,70.07
"050US08093","08093",0,0,0,0,59.48,118.96
"050US08095","08095",0,0,0,0,NA,NA
"050US08097","08097",0,0,0,0,54.82,109.64
"050US08099","08099",2,1,40,20,32.6,65.2
"050US08101","08101",55,50,94.83,86.21,7.62,15.24
"050US08103","08103",0,0,0,0,73.33,146.66
"050US08105","08105",2,0,50,0,35.13,70.26
"050US08107","08107",0,0,0,0,NA,NA
"050US08109","08109",0,0,0,0,66.35,132.7
"050US08111","08111",0,0,0,0,89.77,179.54
"050US08113","08113",0,0,0,0,83.11,166.22
"050US08115","08115",0,0,0,0,NA,NA
"050US08117","08117",0,0,0,0,70.6,141.21
"050US08119","08119",3,0,37.5,0,39.63,79.27
"050US08121","08121",0,0,0,0,81.8,163.6
"050US08123","08123",78,21,93.98,25.3,21.43,42.85
"050US08125","08125",0,0,0,0,NA,NA
"050US09001","09001",0,0,0,0,NA,NA
"050US09003","09003",0,0,0,0,NA,NA
"050US09005","09005",0,0,0,0,NA,NA
"050US09007","09007",0,0,0,0,NA,NA
"050US09009","09009",0,0,0,0,NA,NA
"050US09011","09011",0,0,0,0,NA,NA
"050US09013","09013",0,0,0,0,NA,NA
"050US09015","09015",0,0,0,0,NA,NA
"050US10001","10001",41,34,100,82.93,8.44,16.88
"050US10003","10003",144,133,100,92.36,8.26,16.53
"050US10005","10005",73,51,98.65,68.92,11.66,23.32
"050US11001","11001",206,206,100,100,4,7.99
"050US12001","12001",58,43,100,74.14,10.92,21.85
"050US12003","12003",2,0,50,0,34.91,69.81
"050US12005","12005",46,31,93.88,63.27,13.45,26.9
"050US12007","12007",1,0,16.67,0,33.58,67.17
"050US12009","12009",143,105,97.28,71.43,11.66,23.33
"050US12011","12011",412,377,99.04,90.62,8.4,16.8
"050US12013","12013",0,0,0,0,53.22,106.44
"050US12015","12015",46,24,100,52.17,14.35,28.71
"050US12017","12017",37,9,90.24,21.95,21.54,43.09
"050US12019","12019",29,0,64.44,0,26.52,53.04
"050US12021","12021",99,62,91.67,57.41,15.04,30.08
"050US12023","12023",11,7,84.62,53.85,15.35,30.7
"050US12027","12027",2,0,22.22,0,37.38,74.76
"050US12029","12029",0,0,0,0,67.61,135.23
"050US12031","12031",217,168,99.54,77.06,11.1,22.21
"050US12033","12033",71,30,91.03,38.46,17.33,34.65
"050US12035","12035",23,20,100,86.96,10.88,21.76
"050US12037","12037",0,0,0,0,67.41,134.81
"050US12039","12039",4,0,40,0,30.59,61.18
"050US12041","12041",0,0,0,0,39.15,78.29
"050US12043","12043",0,0,0,0,64.13,128.26
"050US12045","12045",0,0,0,0,47.34,94.68
"050US12047","12047",3,0,50,0,31.05,62.11
"050US12049","12049",0,0,0,0,45.21,90.42
"050US12051","12051",2,0,20,0,50.63,101.26
"050US12053","12053",44,34,95.65,73.91,10.96,21.93
"050US12055","12055",0,0,0,0,65.22,130.44
"050US12057","12057",330,251,99.1,75.38,10.91,21.83
"050US12059","12059",0,0,0,0,50.58,101.16
"050US12061","12061",40,2,90.91,4.55,23.98,47.95
"050US12063","12063",0,0,0,0,49.88,99.76
"050US12065","12065",2,0,40,0,32.72,65.44
"050US12067","12067",3,0,100,0,25.62,51.25
"050US12069","12069",62,17,82.67,22.67,22.16,44.32
"050US12071","12071",212,113,95.5,50.9,15.98,31.96
"050US12073","12073",78,64,98.73,81.01,10.25,20.5
"050US12075","12075",4,0,33.33,0,36.95,73.91
"050US12077","12077",0,0,0,0,57.58,115.16
"050US12079","12079",0,0,0,0,35.69,71.38
"050US12081","12081",90,71,96.77,76.34,9.89,19.77
"050US12083","12083",83,39,89.25,41.94,17.03,34.07
"050US12085","12085",38,32,90.48,76.19,12.44,24.89
"050US12086","12086",702,422,99.43,59.77,13.06,26.13
"050US12087","12087",0,0,0,0,71.84,143.69
"050US12089","12089",10,0,43.48,0,29.5,59
"050US12091","12091",0,0,0,0,54.71,109.43
"050US12093","12093",0,0,0,0,43.74,87.49
"050US12095","12095",266,224,99.63,83.9,10.13,20.25
"050US12097","12097",57,38,96.61,64.41,13.66,27.32
"050US12099","12099",350,290,94.09,77.96,11.5,23.01
"050US12101","12101",121,75,93.08,57.69,14.31,28.63
"050US12103","12103",273,240,100,87.91,10.27,20.54
"050US12105","12105",150,82,86.21,47.13,17.54,35.08
"050US12107","12107",12,7,70.59,41.18,20.08,40.16
"050US12109","12109",50,22,100,44,16.39,32.78
"050US12111","12111",67,40,100,59.7,13.14,26.29
"050US12113","12113",27,16,75,44.44,19.83,39.65
"050US12115","12115",122,78,100,63.93,12.55,25.09
"050US12117","12117",87,21,97.75,23.6,18.84,37.68
"050US12119","12119",20,0,71.43,0,24.62,49.23
"050US12121","12121",11,4,100,36.36,16.82,33.63
"050US12123","12123",0,0,0,0,53.89,107.79
"050US12125","12125",2,0,50,0,28.25,56.5
"050US12127","12127",115,59,89.15,45.74,17.46,34.92
"050US12129","12129",5,0,62.5,0,29.25,58.49
"050US12131","12131",0,0,0,0,57.62,115.24
"050US12133","12133",0,0,0,0,50.16,100.31
"050US13001","13001",0,0,0,0,49.64,99.28
"050US13003","13003",0,0,0,0,41.3,82.6
"050US13005","13005",0,0,0,0,52.22,104.44
"050US13007","13007",0,0,0,0,49.39,98.77
