GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
1469,2.483648208,4.967296417,32.0441549,1.409312791
1472,,,,
1473,0.016517141,0.033034282,31.97909817,0.62020056
1474,2.930110702,5.860221405,32.36162362,1.437513574
1475,2.58468743,5.16937486,14.35402501,1.374022663
1501,2.358446058,4.716892116,90.62753037,1.180474607
1503,8.141398852,16.2827977,135.9721116,2.221114162
1504,2.094119626,4.188239252,111.4044536,1.789257002
1505,6.246524643,12.49304929,97.04896661,3.360317129
1506,10.79944712,21.59889423,22.10817307,5.171557216
1507,2.376922093,4.753844186,54.33818589,1.621518696
1508,5.26,10.52,55,1.908295089
1509,5.26,10.52,55,1.908295089
1510,2.116270254,4.232540507,99.7712367,0.863118445
1515,9.3,18.6,42,2.684136841
1516,10.24067597,20.48135194,79.65351068,4.399271187
1518,5.240479099,10.4809582,51.42930953,2.244027587
1519,1.483552715,2.967105429,92.94666251,1.598801462
1520,0.482786019,0.965572039,74.77441621,1.068526917
1521,17.82,35.64,9,6.301635784
1522,2.688584843,5.377169687,72.83433937,2.037088088
1523,5.895659709,11.79131942,92.09055536,3.440283263
1524,6.767633722,13.53526744,61.53914276,3.408901333
1525,0,0,91,0.736967052
1526,,,,
1527,2.32455718,4.649114359,101.6202352,1.176474494
1529,5.684151748,11.3683035,118.8746803,2.40887956
1531,12.26953317,24.53906634,11.09090909,6.452696976
1532,0.028385155,0.056770309,112.4257057,0.907433674
1534,1.657075694,3.314151388,93.07007687,1.249863638
1535,0.102663254,0.205326509,33.86726418,0.384138821
1536,2.881070078,5.762140157,96.77260831,1.384368049
1537,2.52,5.04,66,1.024394811
1538,0,0,122,0.549654202
1540,1.005364688,2.010729375,63.57394816,0.52603205
1541,11.73,23.46,57,6.367849943
1542,4.501552,9.003104,71.5824,2.463209743
1543,12.36659476,24.73318952,47.07162304,5.869571404
1545,3.573371937,7.146743873,105.0574094,1.206674967
1546,,,,
1550,1.958819827,3.917639654,34.93188715,0.867229399
1560,6.011988418,12.02397684,90.02171815,3.20877215
1561,,,,
1562,0.010747178,0.021494356,54.54393658,0.247092992
1564,9.484288138,18.96857628,76.77118643,4.194361376
