GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
45011,15.34,21.78,41.66,7.51,3.95,77.6,74.37,70.28,14.03,106.57,86.84,71.61,13.78,14.69,52.6,11899,44.27,10015,0.38,85,0.56,126,0.02,5,0.71,160,1.46,331,1.29,292
45013,17.19,9.42,24.22,23.21,14.14,81.01,78.83,74.37,20.36,107.34,96.15,89.96,11.6,12.46,71.88,116606,19.29,31290,0.3,481,1.16,1889,0.07,119,5.25,8515,2.05,3333,7.98,12942
45015,18.74,13.65,36.2,12.82,5.48,77.53,74.72,70.14,10.01,107.62,97.88,80.81,13.63,14.67,66.48,118232,25.03,44514,0.6,1067,2.28,4046,0.1,184,2.81,4990,2.7,4810,3.96,7051
45017,14.29,18.39,35.71,13.72,6.53,80.82,78.29,74.56,16.28,106.49,92.45,80.16,11.78,12.54,53.88,8177,42.56,6459,0.34,52,0.21,32,0.06,9,1.76,267,1.18,179,2.09,317
45019,15.11,12.59,23.5,24.09,13.43,81.46,79.25,74.22,12.77,102.08,91.92,74.37,11.86,12.1,64.22,224910,29.76,104239,0.3,1068,1.35,4719,0.09,299,2.71,9477,1.57,5497,3.74,13110
45021,14.26,25.75,39.7,8.27,3.41,78.23,75.33,70.99,13.45,104.2,90.94,72.99,13.51,14.08,75.03,41525,20.38,11278,0.36,199,0.57,313,0.03,17,2.21,1223,1.42,787,2.2,1217
45023,14.68,25.73,37.92,8.25,2.97,79.05,76.08,72.18,14.59,105.97,89.79,73.48,12.89,13.66,59.79,19814,37.38,12387,0.41,136,0.33,109,0.02,5,0.56,187,1.51,502,0.85,283
45025,13.5,26.63,39.39,7.33,3.77,78.48,75.27,71.22,13.55,100.12,92.81,74.77,13.73,13.75,62.81,29352,32.64,15253,0.51,237,0.37,172,0.03,12,2.02,945,1.63,763,2.29,1072
45027,13.61,24.62,40.78,9.17,4.0,80.64,77.67,72.77,16.78,104.52,97.08,83.46,12.45,13.01,47.02,16445,50.05,17504,0.25,86,0.64,225,0.01,4,1.2,418,0.83,289,1.67,585
45029,13.36,24.68,39.07,9.45,4.18,78.63,75.59,71.82,15.63,102.04,90.49,82.58,13.34,13.61,57.01,22173,39.03,15178,0.83,322,0.32,126,0.02,7,1.28,499,1.51,587,1.8,699
45031,13.93,23.12,37.31,10.63,5.29,78.72,75.75,71.39,14.26,102.24,86.62,71.15,13.48,13.78,55.86,38366,41.6,28573,0.28,194,0.3,203,0.01,8,0.88,603,1.07,734,1.07,736
45033,12.58,34.2,37.36,6.2,2.96,76.36,73.26,69.1,12.97,100.59,85.13,66.23,14.77,14.85,48.03,15399,46.1,14782,2.46,790,0.24,78,0.02,8,1.5,481,1.63,524,1.5,481
45035,18.84,11.09,30.5,16.15,7.96,76.07,72.89,69.12,10.14,103.12,91.66,76.74,14.62,15.08,67.83,92621,25.83,35266,0.66,904,1.5,2052,0.11,146,1.45,1978,2.63,3588,2.74,3740
45037,15.02,21.73,36.54,11.23,5.09,81.36,78.61,74.74,13.06,108.76,120.8,79.89,11.54,12.56,58.64,15825,37.17,10030,0.25,67,0.35,95,0.04,11,2.24,604,1.31,353,4.36,1177
45039,13.6,21.51,39.06,10.71,5.17,80.18,77.33,73.59,14.88,101.14,89.11,76.75,12.5,12.64,38.55,9236,59.14,14167,0.21,50,0.23,55,0.01,2,0.76,182,1.1,264,1.07,256
45041,14.82,19.22,34.17,13.19,7.58,78.23,75.38,71.09,13.16,101.83,84.51,68.89,13.52,13.77,54.88,75116,41.28,56506,0.34,464,1.22,1671,0.02,23,1.13,1548,1.14,1557,1.38,1890
45043,15.72,16.62,32.54,13.69,8.12,80.97,78.36,75.17,19.81,106.96,86.82,83.38,11.53,12.34,63.18,38005,33.6,20214,0.23,136,0.45,271,0.02,14,1.61,969,0.91,549,1.97,1188
45045,15.72,15.98,27.28,20.04,9.94,78.5,75.77,71.59,12.76,103.39,91.22,73.14,13.28,13.73,73.82,333084,18.06,81497,0.31,1401,1.96,8849,0.06,257,3.92,17667,1.88,8470,5.3,23937
45047,14.19,20.5,31.76,15.15,6.84,79.02,76.3,71.19,15.14,99.38,83.68,70.12,13.62,13.54,62.85,43783,31.36,21846,0.28,196,0.82,572,0.04,25,3.47,2420,1.18,819,3.3,2299
45049,13.67,24.09,40.99,7.63,3.33,79.03,75.86,71.88,13.41,107.01,104.83,77.7,12.99,13.9,42.67,8999,53.86,11359,0.31,66,0.54,113,0.04,8,1.3,274,1.28,271,2.77,584
45051,17.22,13.14,34.2,14.2,7.62,82.15,79.86,75.59,17.11,102.85,93.87,85.61,11.33,11.65,79.87,215071,13.44,36202,0.47,1279,1.05,2816,0.11,305,3.11,8366,1.95,5252,4.18,11259
