HEROP_ID,DmySgrg
050US01061,0
050US01075,0
050US04011,0
050US01013,0
050US01015,0
050US21235,0
050US22057,0
050US24023,0
050US26013,0
050US26071,0
050US47145,0
050US47183,0
050US48041,0
050US48079,0
050US48341,0
050US49005,0
050US49023,0
050US51103,0
050US51157,1
050US53019,0
050US53075,0
050US55011,0
050US56033,0
050US56039,0
050US05085,0
050US06089,0
050US08005,1
050US08033,0
050US01073,1
050US01129,1
050US02290,0
050US42131,0
050US45021,0
050US27137,0
050US28021,0
050US28053,0
050US28137,0
050US30003,0
050US30035,0
050US30061,0
050US30089,0
050US31009,0
050US32033,0
050US34009,0
050US36017,0
050US37019,0
050US37047,0
050US37079,0
050US37147,0
050US37173,0
050US45065,0
050US46003,0
050US47055,0
050US47085,0
050US05145,0
050US13107,0
050US16007,0
050US47119,1
050US47147,1
050US48015,1
050US48277,0
050US48391,0
050US48469,0
050US49057,0
050US51003,0
050US51031,0
050US51059,1
050US51121,0
050US51155,0
050US53067,0
050US54031,0
050US54057,0
050US54085,0
050US55007,0
050US55057,0
050US55121,0
050US41003,0
050US42023,0
050US42055,0
050US44007,0
050US21203,0
050US05017,0
050US13215,0
050US13301,0
050US16013,0
050US16031,0
050US17125,0
050US24015,1
050US24039,0
050US17007,0
050US18053,0
050US20065,0
050US21011,0
050US21067,0
050US21101,0
050US21133,0
050US22077,0
050US22103,1
050US08069,0
050US12029,0
050US27067,0
050US27119,0
050US20067,0
050US21089,0
050US26089,0
050US26141,0
050US32031,0
050US38097,0
050US47105,0
050US13309,0
050US17003,0
050US17189,0
050US19003,0
050US19163,0
050US20195,0
050US21187,0
050US22063,0
050US22101,0
050US08117,0
050US12007,0
050US13031,0
050US39123,1
050US40101,0
050US27069,0
050US27107,0
050US27145,0
050US28049,0
050US29171,0
050US30075,0
050US32011,0
050US34033,1
050US36113,0
050US37031,0
050US37113,0
050US38035,0
050US39055,1
050US46023,0
050US47093,0
050US01071,0
050US13019,0
050US48061,0
050US48185,0
050US48239,0
050US06011,0
050US16029,0
050US01021,1
050US01027,0
050US01029,0
050US04023,0
050US01093,0
050US05053,0
050US01103,0
050US01133,0
050US02070,0
050US02110,0
050US02150,0
050US02220,0
050US02261,0
050US48389,0
050US49017,0
050US51093,0
050US51171,0
050US53021,0
050US53055,0
050US05069,0
050US05107,0
050US06041,0
050US06077,0
050US08001,1
050US01059,0
050US01097,1
050US48283,0
050US48401,0
050US48459,0
050US49037,0
050US51027,0
050US51101,1
050US51147,0
050US51191,0
050US54003,0
050US54041,0
050US42017,1
050US05043,0
050US05049,0
050US02020,0
050US04021,0
050US13113,1
050US13151,1
050US13191,0
050US23027,0
050US24027,1
050US05135,0
050US09005,0
050US09013,1
050US12115,0
050US05101,0
050US05105,0
050US05115,0
050US05005,0
050US05009,0
050US08021,0
050US08039,1
050US08059,1
050US01037,0
050US08073,0
050US08101,0
050US08121,0
050US08125,0
050US05077,0
050US01017,0
050US05129,0
050US13063,1
050US13159,1
050US06031,0
050US06035,0
050US06075,0
050US08003,0
050US08015,0
050US13003,0
050US12035,0
050US12059,0
050US12087,0
050US12109,1
050US12111,0
050US05149,0
050US06021,0
050US06025,0
050US06061,0
050US06109,0
050US13117,1
050US13169,0
050US13197,0
050US17067,0
050US17183,0
050US13059,0
050US13069,0
050US13083,1
050US17053,0
050US13145,0
050US13023,0
050US13037,0
050US13053,0
050US17073,0
050US17097,1
050US17059,0
050US17063,1
050US13093,0
050US16051,0
050US16065,0
050US13111,0
050US13243,0
050US13257,0
050US17011,0
050US17015,0
050US18099,0
050US18101,0
050US13287,0
050US13295,1
050US15003,0
050US16009,0
050US18003,1
050US17149,0
050US17159,0
050US17107,0
050US17115,0
050US17121,0
050US17131,0
050US17135,0
050US17145,0
050US13233,0
050US13239,0
050US18031,0
050US18037,0
050US18041,0
050US18055,0
050US18065,0
050US18075,0
050US18085,0
050US18091,0
050US18109,1
050US16019,0
050US16021,0
050US16045,0
050US17029,0
050US18181,0
050US19007,0
050US19017,0
050US19025,0
050US18095,1
050US18097,1
050US17173,0
050US17177,0
050US16075,0
050US17005,1
050US19103,0
050US19117,0
050US19127,0
050US19131,0
050US20105,0
050US20109,0
050US20111,0
050US20113,0
050US19135,0
050US19041,0
050US18017,0
050US20049,0
050US20057,0
050US18115,1
050US18119,0
050US18121,0
050US20091,1
050US20097,0
050US20101,0
050US19049,0
050US18133,1
050US18157,0
050US18111,1
050US17021,0
050US19159,0
050US19165,0
050US20063,0
050US20073,0
050US20077,0
050US20085,0
050US19169,0
050US19189,0
050US20001,0
050US20009,0
050US20015,1
050US20025,0
050US20029,0
050US20043,0
050US40045,0
050US48309,0
050US48337,0
