HEROP_ID,TotTracts
050US51143,16
050US51159,2
050US51165,19
050US51175,5
050US51179,27
050US51187,8
050US53047,10
050US53049,8
050US53053,172
050US53061,151
050US53071,12
050US53073,34
050US54013,2
050US54017,2
050US54019,12
050US54023,3
050US54027,5
050US54033,22
050US54037,15
050US54043,5
050US54065,4
050US54071,3
050US54081,17
050US54093,3
050US54095,3
050US37133,32
050US37137,5
050US37149,7
050US37153,11
050US37161,13
050US37163,11
050US37177,1
050US38005,4
050US38033,1
050US38053,4
050US38059,5
050US38067,5
050US38071,3
050US22067,8
050US22069,9
050US22079,33
050US22097,19
050US22107,3
050US22113,13
050US22117,11
050US22123,3
050US23007,9
050US08065,2
050US08071,6
050US08093,5
050US08105,3
050US08113,4
050US09001,211
050US09007,37
050US09011,66
050US10005,54
050US12033,72
050US12037,6
050US12041,5
050US12047,3
050US12053,45
050US12071,167
050US19009,3
050US19027,6
050US19075,4
050US19113,45
050US19147,4
050US19195,3
050US20069,2
050US20143,2
050US20181,2
050US21005,5
050US21025,7
050US21029,18
050US21033,3
050US21043,7
050US21049,10
050US21063,2
050US21071,10
050US21085,7
050US21097,5
050US21109,3
050US21119,5
050US21125,13
050US21135,4
050US21139,2
050US21153,4
050US21159,3
050US21167,5
050US21181,2
050US21183,7
050US21193,8
050US21197,2
050US21205,4
050US54109,6
050US55023,6
050US55037,2
050US55051,4
050US55069,10
050US55075,13
050US55111,13
050US41007,12
050US41017,24
050US41019,23
050US41065,8
050US42003,402
050US42027,31
050US42033,20
050US42041,49
050US42045,144
050US42051,36
050US42061,12
050US42071,98
050US42089,33
050US42095,68
050US51063,3
050US51087,64
050US53077,45
050US45027,12
050US45047,14
050US01043,18
050US45029,10
050US45071,8
050US46067,3
050US01033,14
050US02050,3
050US04007,16
050US05039,3
050US06039,23
050US08043,14
050US12013,3
050US12069,56
050US12129,5
050US13219,6
050US16035,2
050US16069,10
050US17153,2
050US18071,10
050US19087,5
050US21003,6
050US21051,6
050US21165,2
050US46085,2
050US47057,5
050US02195,1
050US06009,10
050US08097,4
050US13007,2
050US21055,4
050US22017,64
050US22115,12
050US26137,6
050US29019,29
050US30005,4
050US37029,2
050US40089,8
050US41023,2
050US46117,1
050US47091,5
050US39047,7
050US39061,222
050US39095,128
050US45055,15
050US45059,17
050US45069,7
050US45073,15
050US45083,69
050US45089,11
050US46009,2
050US06043,6
050US06095,96
050US08035,61
050US10003,131
050US12079,5
050US12113,26
050US13001,5
050US13079,3
050US13135,113
050US13311,5
050US47107,10
050US47117,6
050US47123,7
050US47143,6
050US47151,5
050US47155,18
050US47157,221
050US47165,42
050US47167,13
050US47185,6
050US47189,21
050US48001,11
050US48005,17
050US48029,366
050US48037,18
050US48043,3
050US48051,5
050US48057,6
050US48067,7
050US48091,24
050US48109,1
050US48119,2
050US48173,1
050US48187,29
050US48205,1
050US48215,113
050US48225,7
050US48263,1
050US48273,6
050US48287,4
050US48301,1
050US48311,1
050US48315,4
050US48339,59
050US48343,3
050US48349,10
050US48373,10
050US48377,2
050US48383,1
050US48405,3
050US48407,4
050US46041,2
050US46071,2
050US46075,1
050US46079,3
050US46127,3
050US47013,11
050US47021,9
050US47031,12
050US47035,14
050US47037,161
050US47041,4
050US47065,82
050US47089,9
050US56003,3
050US56013,10
050US56031,2
050US56035,2
050US01041,6
050US02100,1
050US04001,16
050US05001,8
050US05029,6
050US05057,5
050US39115,4
050US40113,11
050US41015,6
050US42049,72
050US42101,384
050US45009,4
050US45057,14
050US45087,9
050US47025,9
050US47053,14
050US47135,2
050US47163,39
050US48089,5
050US48135,28
050US48203,14
050US48323,9
050US48351,4
050US48379,2
050US48409,16
050US48465,10
050US49007,5
050US49019,2
050US51005,6
050US51029,4
050US51089,14
050US51141,4
050US51193,4
050US53011,104
050US53045,14
050US54025,7
050US55001,7
050US08027,1
050US08051,4
050US05041,5
050US13261,8
050US18179,7
050US22111,6
050US23003,24
050US40133,9
050US35019,1
050US37105,13
050US37125,18
