HEROP_ID,RxCtTmDr,RxAvTmDr,RxTmDrP
050US51057,3.0,14.93,1.0
050US51067,10.0,10.78,1.0
050US51083,8.0,16.49,0.89
050US51091,1.0,0.0,1.0
050US51095,11.0,2.76,1.0
050US51107,65.0,3.55,1.0
050US51111,3.0,9.78,1.0
050US51127,3.0,3.43,1.0
050US51133,4.0,12.64,1.0
050US51143,16.0,15.78,1.0
050US51159,2.0,6.36,1.0
050US51165,19.0,7.14,1.0
050US51175,5.0,17.28,1.0
050US51179,27.0,7.14,1.0
050US51187,8.0,6.47,1.0
050US53047,7.0,19.38,0.7
050US53049,7.0,10.67,0.88
050US53053,171.0,4.44,0.99
050US53061,150.0,4.45,0.99
050US53071,11.0,5.29,0.92
050US53073,33.0,5.81,0.97
050US54013,2.0,12.56,1.0
050US54017,2.0,3.66,1.0
050US54019,11.0,7.63,0.92
050US54023,2.0,16.89,0.67
050US54027,4.0,13.13,0.8
050US54033,22.0,4.33,1.0
050US54037,15.0,6.63,1.0
050US54043,5.0,0.0,1.0
050US54065,4.0,19.2,1.0
050US54071,1.0,22.31,0.33
050US54081,16.0,6.02,0.94
050US54093,2.0,24.43,0.67
050US54095,3.0,16.36,1.0
050US37133,32.0,7.6,1.0
050US37137,3.0,19.09,0.6
050US37149,7.0,8.79,1.0
050US37153,11.0,6.29,1.0
050US37161,13.0,10.16,1.0
050US37163,11.0,9.55,1.0
050US37177,1.0,0.0,1.0
050US38005,3.0,23.0,0.75
050US38033,1.0,0.0,1.0
050US38053,3.0,16.56,0.75
050US38059,4.0,6.51,0.8
050US38067,4.0,13.71,0.8
050US38071,2.0,14.92,0.67
050US22067,8.0,8.4,1.0
050US22069,8.0,15.42,0.89
050US22079,32.0,5.24,0.97
050US22097,18.0,5.12,0.95
050US22107,2.0,11.19,0.67
050US22113,11.0,9.17,0.85
050US22117,11.0,3.76,1.0
050US22123,2.0,10.79,0.67
050US23007,6.0,27.1,0.67
050US08065,2.0,3.16,1.0
050US08071,5.0,12.54,0.83
050US08093,1.0,52.59,0.2
050US08105,3.0,2.68,1.0
050US08113,4.0,5.53,1.0
050US09001,211.0,2.56,1.0
050US09007,37.0,3.91,1.0
050US09011,66.0,4.43,1.0
050US10005,54.0,4.0,1.0
050US12033,72.0,3.49,1.0
050US12037,3.0,22.34,0.5
050US12041,5.0,11.82,1.0
050US12047,3.0,17.42,1.0
050US12053,45.0,5.59,1.0
050US12071,166.0,4.13,0.99
050US19009,3.0,8.85,1.0
050US19027,6.0,3.79,1.0
050US19075,4.0,10.29,1.0
050US19113,45.0,2.65,1.0
050US19147,4.0,11.5,1.0
050US19195,3.0,15.94,1.0
050US20069,2.0,0.0,1.0
050US20143,1.0,16.37,0.5
050US20181,2.0,6.92,1.0
050US21005,5.0,6.29,1.0
050US21025,6.0,17.87,0.86
050US21029,18.0,7.57,1.0
050US21033,3.0,10.01,1.0
050US21043,7.0,9.48,1.0
050US21049,10.0,5.76,1.0
050US21063,1.0,20.54,0.5
050US21071,10.0,4.41,1.0
050US21085,7.0,6.36,1.0
050US21097,5.0,7.58,1.0
050US21109,3.0,7.47,1.0
050US21119,5.0,10.18,1.0
050US21125,13.0,7.47,1.0
050US21135,3.0,8.4,0.75
050US21139,2.0,0.0,1.0
050US21153,2.0,22.77,0.5
050US21159,3.0,7.41,1.0
050US21167,5.0,6.05,1.0
050US21181,2.0,8.36,1.0
050US21183,7.0,7.53,1.0
050US21193,8.0,7.06,1.0
050US21197,2.0,0.0,1.0
050US21205,4.0,0.0,1.0
050US54109,6.0,6.99,1.0
050US55023,6.0,7.96,1.0
050US55037,2.0,21.71,1.0
050US55051,2.0,24.53,0.5
050US55069,10.0,6.55,1.0
050US55075,12.0,11.62,0.92
050US55111,13.0,5.29,1.0
050US41007,11.0,10.28,0.92
050US41017,23.0,6.3,0.96
050US41019,20.0,12.19,0.87
050US41065,7.0,12.55,0.88
050US42003,402.0,2.59,1.0
050US42027,31.0,4.54,1.0
050US42033,18.0,8.34,0.9
050US42041,49.0,3.35,1.0
050US42045,144.0,1.52,1.0
050US42051,36.0,4.86,1.0
050US42061,11.0,15.04,0.92
050US42071,98.0,3.22,1.0
050US42089,33.0,7.64,1.0
050US42095,68.0,3.05,1.0
050US51063,3.0,9.88,1.0
050US51087,64.0,2.59,1.0
050US53077,43.0,5.98,0.96
050US45027,12.0,9.88,1.0
050US45047,14.0,6.66,1.0
050US01043,17.0,7.42,0.94
050US45029,7.0,21.76,0.7
050US45071,8.0,11.02,1.0
050US46067,2.0,12.41,0.67
050US01033,14.0,3.67,1.0
050US02050,,,
050US04007,10.0,25.06,0.62
050US05039,1.0,26.29,0.33
050US06039,21.0,9.34,0.91
050US08043,13.0,8.97,0.93
050US12013,3.0,18.14,1.0
050US12069,54.0,5.29,0.96
050US12129,5.0,13.85,1.0
050US13219,6.0,4.31,1.0
050US16035,0.0,77.64,0.0
050US16069,9.0,6.92,0.9
050US17153,2.0,0.0,1.0
050US18071,10.0,5.96,1.0
050US19087,5.0,8.93,1.0
050US21003,6.0,10.82,1.0
050US21051,5.0,15.7,0.83
050US21165,2.0,14.76,1.0
050US46085,1.0,20.32,0.5
050US47057,4.0,8.41,0.8
050US02195,1.0,0.0,1.0
050US06009,8.0,12.74,0.8
050US08097,3.0,15.41,0.75
050US13007,1.0,25.53,0.5
050US21055,4.0,11.64,1.0
050US22017,64.0,4.42,1.0
050US22115,10.0,19.54,0.83
050US26137,5.0,18.37,0.83
050US29019,29.0,5.37,1.0
050US30005,2.0,30.74,0.5
050US37029,1.0,15.7,0.5
050US40089,6.0,13.56,0.75
050US41023,1.0,31.32,0.5
050US46117,1.0,0.0,1.0
050US47091,5.0,13.83,1.0
050US39047,7.0,7.94,1.0
050US39061,222.0,2.77,1.0
050US39095,128.0,2.36,1.0
050US45055,14.0,11.79,0.93
050US45059,16.0,9.51,0.94
050US45069,7.0,4.31,1.0
050US45073,15.0,8.17,1.0
050US45083,69.0,4.46,1.0
050US45089,11.0,11.57,1.0
050US46009,1.0,23.68,0.5
050US06043,2.0,35.72,0.33
050US06095,96.0,3.22,1.0
050US08035,60.0,5.93,0.98
050US10003,131.0,1.85,1.0
050US12079,5.0,11.27,1.0
050US12113,25.0,5.7,0.96
050US13001,5.0,13.09,1.0
050US13079,3.0,12.87,1.0
050US13135,113.0,2.22,1.0
050US13311,5.0,11.86,1.0
050US47107,10.0,5.06,1.0
050US47117,6.0,8.32,1.0
050US47123,7.0,3.72,1.0
050US47143,6.0,5.88,1.0
050US47151,5.0,10.16,1.0
050US47155,18.0,8.67,1.0
050US47157,221.0,2.76,1.0
050US47165,42.0,8.29,1.0
050US47167,13.0,9.24,1.0
050US47185,6.0,12.36,1.0
050US47189,21.0,5.02,1.0
050US48001,9.0,13.59,0.82
050US48005,17.0,5.3,1.0
050US48029,366.0,3.0,1.0
050US48037,17.0,5.75,0.94
050US48043,2.0,18.73,0.67
050US48051,5.0,6.36,1.0
050US48057,4.0,19.16,0.67
050US48067,6.0,10.61,0.86
050US48091,24.0,3.08,1.0
050US48109,0.0,108.59,0.0
050US48119,2.0,21.78,1.0
050US48173,0.0,45.42,0.0
050US48187,29.0,7.07,1.0
050US48205,1.0,0.0,1.0
050US48215,112.0,3.72,0.99
050US48225,6.0,14.23,0.86
050US48263,0.0,59.62,0.0
050US48273,6.0,8.13,1.0
050US48287,3.0,13.74,0.75
050US48301,0.0,45.72,0.0
050US48311,0.0,46.32,0.0
050US48315,3.0,26.96,0.75
050US48339,58.0,4.52,0.98
050US48343,3.0,7.68,1.0
050US48349,9.0,9.95,0.9
050US48373,8.0,17.52,0.8
050US48377,2.0,0.0,1.0
050US48383,1.0,0.0,1.0
050US48405,3.0,14.5,1.0
050US48407,3.0,15.16,0.75
050US46041,1.0,36.53,0.5
050US46071,0.0,63.45,0.0
050US46075,0.0,49.95,0.0
050US46079,3.0,10.83,1.0
050US46127,3.0,0.0,1.0
050US47013,11.0,8.16,1.0
050US47021,9.0,9.2,1.0
