HEROP_ID,NoIntP
050US18021,20.27
050US48175,27.87
050US48503,19.15
050US51113,24.35
050US53033,6.06
050US53057,9.75
050US06091,21.3
050US18125,28.93
050US26003,20.29
050US27103,12.29
050US01039,26.27
050US01061,28.13
050US01075,33.62
050US04011,16.35
050US01013,31.0
050US01015,21.22
050US21235,30.88
050US22057,20.35
050US24023,19.73
050US26013,21.73
050US26071,25.28
050US47145,21.88
050US47183,26.77
050US48041,10.15
050US48079,29.36
050US48341,13.69
050US49005,6.85
050US49023,17.35
050US51103,24.1
050US51157,20.77
050US53019,28.79
050US53075,9.36
050US55011,16.68
050US56033,15.25
050US56039,8.01
050US05085,16.63
050US06089,15.51
050US08005,7.55
050US08033,31.23
050US01073,16.87
050US01129,30.87
050US02290,52.96
050US42131,14.31
050US45021,28.3
050US27137,16.42
050US28021,32.98
050US28053,32.74
050US28137,23.98
050US30003,28.35
050US30035,30.65
050US30061,31.08
050US30089,25.97
050US31009,9.39
050US32033,20.71
050US34009,12.55
050US36017,16.58
050US37019,11.97
050US37047,29.19
050US37079,22.93
050US37147,14.02
050US37173,33.97
050US45065,24.34
050US46003,22.67
050US47055,23.97
050US47085,26.36
050US05145,20.88
050US13107,27.57
050US16007,13.04
050US47119,14.58
050US47147,14.69
050US48015,22.57
050US48277,28.29
050US48391,28.39
050US48469,22.44
050US49057,9.95
050US51003,11.27
050US51031,21.69
050US51059,4.2
050US51121,8.78
050US51155,23.31
050US53067,8.42
050US54031,17.99
050US54057,18.82
050US54085,24.06
050US55007,14.03
050US55057,19.46
050US55121,19.41
050US41003,6.36
050US42023,24.63
050US42055,16.4
050US44007,15.62
050US21203,29.02
050US05017,34.83
050US13215,17.29
050US13301,48.22
050US16013,11.83
050US16031,12.54
050US17125,18.19
050US24015,12.6
050US24039,22.22
050US17007,12.28
050US18053,19.27
050US20065,20.4
050US21011,22.21
050US21067,9.63
050US21101,20.99
050US21133,25.08
050US22077,25.9
050US22103,11.09
050US08069,6.88
050US12029,35.44
050US27067,15.31
050US27119,15.32
050US20067,18.15
050US21089,17.04
050US26089,12.56
050US26141,22.87
050US32031,11.13
050US38097,14.34
050US47105,17.61
050US13309,58.7
050US17003,41.78
050US17189,18.5
050US19003,19.59
050US19163,15.77
050US20195,12.84
050US21187,30.69
050US22063,13.31
050US22101,24.75
050US08117,10.14
050US12007,26.77
050US13031,17.94
050US39123,14.04
050US40101,23.45
050US27069,17.96
050US27107,25.05
050US27145,12.75
050US28049,19.04
050US29171,27.69
050US30075,10.85
050US32011,15.25
050US34033,16.19
050US36113,13.69
050US37031,12.24
050US37113,21.19
050US38035,12.96
050US39055,16.42
050US46023,27.23
050US47093,13.95
050US01071,25.21
050US13019,31.86
050US48061,29.83
050US48185,23.94
050US48239,24.34
050US06011,17.46
050US16029,10.05
050US01021,27.34
050US01027,26.11
050US01029,31.97
050US04023,22.99
050US01093,29.17
050US05053,21.23
050US01103,20.1
050US01133,29.49
050US02070,22.49
050US02110,6.85
050US02150,13.24
050US02220,13.0
050US02261,17.0
050US48389,34.88
050US49017,14.77
050US51093,18.96
050US51171,21.73
050US53021,12.06
050US53055,8.56
050US05069,33.05
050US05107,32.26
050US06041,6.26
050US06077,14.35
050US08001,12.56
050US01059,33.32
050US01097,21.5
050US48283,42.31
050US48401,28.16
050US48459,17.66
050US49037,42.4
050US51027,32.19
050US51101,21.77
050US51147,28.3
050US51191,21.31
050US54003,12.6
050US54041,26.5
050US42017,9.04
050US05043,24.21
050US05049,27.71
050US02020,7.47
050US04021,12.3
050US13113,7.32
050US13151,7.44
050US13191,21.63
050US23027,15.98
050US24027,4.45
050US05135,29.94
050US09005,10.56
050US09013,8.4
050US12115,10.92
050US05101,34.81
050US05105,30.1
050US05115,21.48
050US05005,18.69
050US05009,16.56
050US08021,28.02
050US08039,6.68
050US08059,7.13
050US01037,27.21
050US08073,17.13
050US08101,19.51
050US08121,16.0
050US08125,19.02
050US05077,39.02
050US01017,28.07
050US05129,31.95
050US13063,14.98
050US13159,23.54
050US06031,16.59
050US06035,18.37
050US06075,9.84
050US08003,20.48
050US08015,14.49
050US13003,31.6
050US12035,12.38
050US12059,22.79
050US12087,11.42
050US12109,7.99
050US12111,11.99
050US05149,26.91
050US06021,24.08
050US06025,19.2
050US06061,7.81
050US06109,14.73
050US13117,5.1
050US13169,18.05
050US13197,34.83
050US17067,22.78
050US17183,20.56
050US13059,13.86
050US13069,28.79
050US13083,21.23
050US17053,17.54
050US13145,12.63
050US13023,26.1
050US13037,32.95
050US13053,19.96
050US17073,18.97
050US17097,8.15
050US17059,28.87
050US17063,11.63
050US13093,36.99
050US16051,9.44
050US16065,4.55
050US13111,14.57
050US13243,23.58
050US13257,25.81
050US17011,17.91
050US17015,16.67
050US18099,24.91
050US18101,25.75
050US13287,36.07
050US13295,19.35
050US15003,10.51
050US16009,21.56
050US18003,13.04
050US17149,23.4
050US17159,17.92
050US17107,18.43
050US17115,18.72
050US17121,18.16
050US17131,15.91
050US17135,21.04
050US17145,21.08
050US13233,21.23
050US13239,38.95
050US18031,19.92
050US18037,16.07
050US18041,25.31
050US18055,25.26
050US18065,20.48
050US18075,21.79
050US18085,15.36
050US18091,18.36
050US18109,14.78
050US16019,8.61
050US16021,20.98
050US16045,16.07
050US17029,16.21
050US18181,16.05
050US19007,25.89
050US19017,13.32
050US19025,16.55
050US18095,17.25
050US18097,17.56
050US17173,24.44
050US17177,18.48
050US16075,14.29
050US17005,19.97
050US19103,8.12
050US19117,20.56
050US19127,19.46
050US19131,16.79
050US20105,23.48
050US20109,17.0
050US20111,14.12
050US20113,14.36
050US19135,19.55
050US19041,15.31
050US18017,20.25
050US20049,25.62
050US20057,19.3
050US18115,21.6
050US18119,24.23
050US18121,30.08
050US20091,5.51
050US20097,22.74
050US20101,10.96
050US19049,8.15
050US18133,17.51
050US18157,9.99
050US18111,15.27
050US17021,19.06
050US19159,21.61
050US19165,18.83
050US20063,20.38
050US20073,30.01
050US20077,22.12
050US20085,17.27
050US19169,7.04
050US19189,18.2
050US20001,22.15
050US20009,17.92
050US20015,15.71
050US20025,23.14
050US20029,20.09
050US20043,24.79
050US40045,25.15
050US48309,16.92
050US48337,25.47
050US48355,16.5
050US51720,19.41
050US51740,17.35
050US18143,28.94
050US18171,15.58
050US18177,20.52
050US19097,18.78
050US19141,16.99
050US19055,16.14
050US19073,14.63
050US19079,19.83
050US40041,26.7
050US46111,15.25
050US51810,7.91
050US20087,15.23
050US20089,23.7
050US46109,21.43
050US46121,52.44
050US53051,21.93
050US53059,17.17
050US54011,21.56
050US23011,14.77
050US24019,20.05
050US38103,17.81
050US30101,17.84
050US31003,19.9
050US48275,21.75
050US31029,15.72
050US24025,9.43
050US24035,9.94
050US25009,11.74
050US26015,16.47
050US38045,20.97
050US38051,26.49
050US38095,31.66
050US38101,10.06
050US25003,13.93
050US25011,14.34
050US25021,7.68
050US26159,18.46
050US26165,21.58
050US40151,19.08
050US42073,18.67
050US42083,19.41
050US48441,20.52
050US48451,17.37
050US55123,23.21
050US47115,25.02
050US47125,10.3
050US51153,4.03
050US46015,20.53
050US46035,14.12
050US46039,18.24
050US46049,23.02
050US51075,13.85
050US45001,26.08
050US48045,21.93
050US51181,29.34
050US29005,19.95
050US29009,24.59
050US39159,9.29
050US31171,9.75
050US48145,32.68
050US36057,19.39
050US36067,14.78
050US39105,28.2
050US27153,23.95
050US27157,15.37
050US28013,31.01
050US26023,18.07
050US37001,18.57
050US55077,19.63
050US29203,34.79
050US29133,27.54
050US29149,35.09
050US31031,18.53
050US31035,16.78
050US31037,21.31
050US38027,21.56
050US13205,28.55
050US13315,40.04
050US16033,32.41
050US17043,7.25
050US47101,36.82
050US48385,32.5
050US48399,24.0
050US55085,15.45
050US40131,16.3
050US48093,25.79
050US36019,16.09
050US31051,23.13
050US41025,16.86
050US47087,28.82
050US28023,31.94
050US48485,18.19
050US48489,33.38
050US50025,13.02
050US21075,31.18
050US21083,23.52
050US26027,17.78
050US30067,14.65
050US30095,14.78
050US36073,16.57
050US48049,20.51
050US48069,27.45
050US13273,24.3
050US45081,27.78
050US46005,23.86
050US46011,11.89
050US29021,21.29
050US29035,33.09
050US26037,11.04
050US26051,25.41
050US40001,45.12
050US40005,29.22
050US40033,21.73
050US08053,24.67
050US12031,12.64
050US12119,10.81
050US13073,13.56
050US55105,14.47
050US55119,22.49
050US41011,18.16
050US51079,11.83
050US32013,16.28
050US27095,18.75
050US27101,19.89
050US27109,8.78
050US27125,18.63
050US54049,15.97
050US54073,18.84
050US55067,19.67
050US55073,14.41
050US17137,20.0
050US42121,19.28
050US44001,11.61
050US48107,25.08
050US39099,16.58
050US39103,9.16
050US32009,38.29
050US41027,14.57
050US41049,17.33
050US48507,38.92
050US49009,9.82
050US49021,10.84
050US56041,8.35
050US51011,26.1
050US51025,30.0
050US21045,28.05
050US21113,13.27
050US21141,31.21
050US41059,17.1
050US40017,11.6
050US56045,16.78
050US23019,13.46
050US51043,16.98
050US48251,11.28
050US51135,29.97
050US22095,18.97
050US22125,17.03
050US26061,16.55
050US48231,18.09
050US48279,28.6
050US04003,17.43
050US29081,21.55
050US31023,17.75
050US37189,13.19
050US38007,22.45
050US51630,10.1
050US42013,18.53
050US42117,18.69
050US26065,13.35
050US29167,17.5
050US19191,15.05
050US29085,31.21
050US40035,27.83
050US49027,13.88
050US50009,24.16
050US47139,27.21
050US47153,21.76
050US48497,19.49
050US13223,9.6
050US55127,12.02
050US56001,7.98
050US56005,7.51
050US21201,45.88
050US20023,19.9
050US47169,26.65
