HEROP_ID,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,HispP,AsianP,NoHsP,ChildrenP,Age45_49,Age50_54,AgeOv18,EssnWrkE,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
050US38003,6458,536,1177,722,775,3714,859,845,2293,50.08,1.97,0.5,8.56,0.19,627,785,8751,3150.0,1491.55,2.0,0.0,0.0,0.12
050US38055,5392,553,1191,502,398,2937,774,869,2152,48.72,2.38,0.1,8.21,0.21,535,597,7544,2333.0,2110.32,2.0,0.0,0.0,0.1
050US40055,3743,316,647,289,426,2438,464,246,1049,57.23,11.26,0.0,15.85,0.19,375,408,4792,1044.0,639.32,2.0,0.0,0.0,0.08
050US40117,9427,963,2261,1099,865,5609,1123,1215,3060,53.77,3.03,0.41,11.67,0.24,1088,1109,12487,3776.0,568.16,3.0,0.01,0.0,0.18
050US42043,168500,17182,33997,16433,16933,103666,19856,18752,44262,56.41,8.9,4.16,10.25,0.22,17624,19176,212762,61591.0,524.9,23.0,0.04,0.0,0.15
050US42097,55202,4753,10181,5093,4934,31879,7342,6450,18885,50.7,3.26,0.34,12.87,0.2,5977,6858,74087,24785.0,458.0,5.0,0.01,0.0,0.18
050US45015,131397,13772,28562,13839,14744,86773,13750,11698,27136,61.75,6.46,2.3,11.21,0.24,13470,13904,158533,47334.0,1103.6,26.0,0.02,0.0,0.18
050US45067,18468,1986,4119,1878,1880,11000,2069,2649,5787,54.19,2.79,0.71,19.21,0.23,1825,2127,24255,7257.0,489.26,5.0,0.01,0.0,0.23
050US47009,76876,6457,15013,8065,7182,45402,9207,8919,25022,52.06,3.25,0.77,10.9,0.21,9013,9410,101898,29129.0,558.81,9.0,0.02,0.0,0.23
050US47129,13894,1019,2325,1197,1404,8563,1338,1565,3573,55.14,1.26,0.0,18.72,0.19,1612,1601,17467,4551.0,522.18,,,,0.29
050US48065,3434,365,890,465,280,2155,431,395,1057,56.53,9.95,0.51,6.4,0.26,343,396,4491,1300.0,920.23,1.0,0.0,0.0,0.06
050US48157,459004,51655,117726,54665,43098,302375,47261,41118,74854,63.81,24.3,19.91,9.79,0.28,54663,49690,533858,121344.0,861.58,61.0,0.07,0.0,0.14
050US12057,873449,87034,175475,88614,92002,575843,85819,77648,189676,60.8,28.03,4.0,11.6,0.23,93678,93710,1063125,275209.0,1021.84,116.0,0.11,0.0,0.13
050US12089,47583,4009,9134,4500,4015,27110,6341,6199,16835,49.96,4.04,1.02,8.63,0.2,5043,5907,64418,17467.0,648.68,11.0,0.02,0.0,0.17
050US13025,11226,1106,2546,1363,1014,6750,1446,1228,2853,56.04,2.11,0.99,20.03,0.24,1283,1349,14079,3945.0,443.01,2.0,0.0,0.0,0.23
050US39167,36516,2979,6792,3853,3869,21291,4885,4473,12162,51.2,1.08,0.64,9.07,0.2,3805,4284,48678,14436.0,631.97,3.0,0.0,0.0,0.23
050US40023,8302,992,2062,840,820,4862,1077,1060,2968,53.18,4.21,0.01,18.55,0.24,912,953,11270,2937.0,770.35,4.0,0.01,0.0,0.18
