HEROP_ID,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,CenRuralP
050US28157,0.0,0.0,1.0,,1.0
050US28163,0.0,0.67,0.33,,0.45
050US29023,0.0,0.6,0.4,,0.52
050US29029,0.0,0.0,1.0,,0.74
050US29031,0.75,0.25,0.0,,0.31
050US29033,0.0,0.0,1.0,,0.65
050US17075,0.0,0.33,0.67,,0.72
050US17129,0.0,1.0,0.0,,0.76
050US17161,0.95,0.05,0.0,,0.11
050US17175,0.0,1.0,0.0,,1.0
050US17185,0.0,0.0,1.0,,0.39
050US18009,0.0,0.0,1.0,,0.51
050US18035,0.9,0.1,0.0,,0.23
050US18067,0.85,0.15,0.0,,0.22
050US18083,0.0,0.6,0.4,,0.36
050US18159,0.0,0.5,0.5,,0.62
050US18175,0.0,0.33,0.67,,0.77
050US49025,0.0,0.0,1.0,,0.55
050US05003,0.0,0.0,1.0,,0.52
050US05007,0.78,0.2,0.02,,0.25
050US05013,0.0,0.0,1.0,,1.0
050US05045,0.64,0.36,0.0,,0.39
050US13051,0.96,0.01,0.03,1.0,0.05
050US13077,0.65,0.35,0.0,,0.33
050US13123,0.0,0.2,0.8,,0.88
050US13133,0.0,0.29,0.71,,0.83
050US13137,0.0,0.75,0.25,,0.59
050US13139,0.83,0.17,0.0,,0.21
050US13143,0.0,0.6,0.4,,0.77
050US13157,0.18,0.45,0.36,,0.6
050US13171,0.0,1.0,0.0,,0.61
050US13181,0.0,1.0,0.0,,1.0
050US13185,0.84,0.16,0.0,,0.27
050US13195,0.0,1.0,0.0,,0.92
050US13213,0.25,0.75,0.0,,0.7
050US13217,0.69,0.31,0.0,,0.31
050US13237,0.0,0.2,0.8,,0.81
050US13245,0.96,0.04,0.0,,0.09
050US13251,0.0,0.2,0.8,,0.79
050US13269,0.0,0.67,0.33,,1.0
050US13279,0.0,0.67,0.33,,0.51
050US23023,0.0,0.44,0.56,,0.62
050US23031,0.37,0.37,0.27,,0.57
050US24001,0.74,0.26,0.0,,0.27
050US24005,0.94,0.05,0.01,1.0,0.07
050US24017,0.0,0.97,0.03,,0.3
050US24021,0.69,0.3,0.02,,0.25
050US24031,0.99,0.01,0.0,,0.02
050US24045,0.79,0.21,0.0,,0.26
050US28149,0.0,0.75,0.25,,0.41
050US28151,0.0,0.68,0.32,,0.18
050US29041,0.0,0.0,1.0,,1.0
050US29069,0.0,0.3,0.7,,0.5
050US29087,0.0,0.33,0.67,,1.0
050US29113,0.0,1.0,0.0,,0.75
050US29159,0.0,0.73,0.27,,0.38
050US29183,0.94,0.06,0.0,,0.06
050US29195,0.0,0.5,0.5,,0.46
050US29197,0.0,0.0,1.0,,1.0
050US29201,0.0,0.9,0.1,,0.42
050US30001,0.0,0.0,1.0,,0.5
050US30013,0.82,0.18,0.0,,0.2
050US30027,0.0,0.0,1.0,,0.47
050US30031,0.0,0.59,0.41,,0.34
050US30045,0.0,0.0,1.0,,1.0
050US30049,0.0,0.71,0.29,,0.29
050US30055,0.0,0.0,1.0,,1.0
050US30059,0.0,0.0,1.0,,1.0
050US30069,0.0,0.0,1.0,,1.0
050US30073,0.0,0.0,1.0,,0.58
050US30083,0.0,0.0,1.0,,0.44
050US30099,0.0,0.0,1.0,,1.0
050US31103,0.0,0.0,1.0,,1.0
050US31151,0.0,0.0,1.0,,0.51
050US32001,0.0,0.71,0.29,,0.35
050US32003,0.96,0.03,0.01,,0.01
050US32015,0.0,0.0,1.0,,0.39
050US33007,0.0,0.36,0.64,,0.66
050US33015,0.82,0.09,0.09,,0.25
050US33017,0.72,0.24,0.04,,0.32
050US34001,0.87,0.11,0.01,,0.13
050US34005,0.89,0.1,0.01,1.0,0.07
050US34015,0.95,0.05,0.0,,0.08
050US34019,0.62,0.38,0.0,1.0,0.5
050US34021,0.88,0.12,0.0,1.0,0.03
050US34025,0.97,0.02,0.01,,0.04
050US34029,0.92,0.06,0.02,,0.03
050US34035,0.97,0.03,0.0,,0.06
050US21229,0.0,0.0,1.0,,1.0
050US21231,0.0,0.0,1.0,,0.68
050US22035,0.0,0.0,1.0,,0.35
050US22045,0.69,0.25,0.06,,0.28
050US22053,0.0,0.43,0.57,,0.51
050US22055,0.98,0.0,0.02,,0.08
050US06055,0.72,0.03,0.25,,0.13
050US06059,1.0,0.0,0.0,,0.0
050US06069,0.0,0.73,0.27,,0.24
050US06073,0.97,0.03,0.01,,0.03
050US06079,0.69,0.19,0.13,,0.17
050US06083,0.89,0.07,0.04,,0.05
050US06097,0.76,0.2,0.04,,0.12
050US06101,0.71,0.24,0.05,,0.15
050US06107,0.69,0.19,0.12,,0.15
050US06113,0.93,0.02,0.05,,0.07
050US08019,0.0,0.67,0.33,,1.0
050US08023,0.0,0.0,1.0,,1.0
050US08031,0.99,0.0,0.01,1.0,0.0
050US08037,0.0,0.36,0.64,,0.2
050US08055,0.0,0.0,1.0,,0.56
050US01049,0.0,0.07,0.93,,0.9
050US01063,0.0,1.0,0.0,,1.0
050US01087,0.0,0.42,0.58,,0.56
050US01091,0.0,0.0,1.0,,0.69
050US01095,0.0,0.72,0.28,,0.53
050US01101,0.85,0.15,0.0,,0.1
050US01107,0.0,0.8,0.2,,1.0
050US01115,0.08,0.77,0.15,,0.73
050US01119,0.0,0.0,1.0,,1.0
050US01131,0.0,0.0,1.0,,1.0
050US02090,0.74,0.21,0.05,,0.31
050US02158,,,,2.0,1.0
050US02240,0.0,0.0,1.0,,1.0
050US04005,0.54,0.11,0.36,,0.31
050US04009,0.0,0.67,0.33,,0.46
050US04013,0.92,0.06,0.01,,0.02
050US54001,0.0,0.0,1.0,,0.84
050US54005,0.0,1.0,0.0,,0.81
050US54021,0.0,0.0,1.0,,0.61
050US54039,0.85,0.15,0.0,,0.25
050US54045,0.0,0.67,0.33,,0.71
050US54047,0.0,0.12,0.88,,0.86
050US54063,0.0,0.0,1.0,,0.89
050US54067,0.0,0.14,0.86,,0.87
050US54087,0.0,0.5,0.5,,0.8
050US54107,0.85,0.15,0.0,,0.27
050US55003,0.0,0.0,1.0,,0.55
050US55043,0.0,0.33,0.67,,0.64
050US55113,0.0,0.0,1.0,,0.84
050US56029,0.0,0.0,1.0,,0.44
050US12086,0.99,0.0,0.01,1.0,0.0
050US12093,0.0,0.67,0.33,,0.37
050US12097,0.8,0.2,0.0,,0.08
050US13021,0.93,0.07,0.0,,0.14
050US13029,0.29,0.57,0.14,,0.52
050US39137,0.0,0.0,1.0,,0.85
050US39175,0.0,0.0,1.0,,0.57
050US40013,0.0,0.73,0.27,,0.61
