HEROP_ID,Age15_24P,ForDqP,ForDqTot
050US37013,11.81,8.7,45.5
050US37017,11.21,11.98,63.5
050US37023,12.82,9.46,49.79
050US37037,9.89,9.61,70.75
050US37043,7.26,6.4,52.5
050US37053,10.72,5.83,71.17
050US37057,11.79,9.14,85.62
050US37065,12.55,15.77,56.4
050US37075,12.74,9.77,30.0
050US37085,13.2,10.23,85.64
050US37089,9.97,5.27,38.75
050US37095,11.09,4.55,24.0
050US37103,9.39,9.53,30.67
050US37115,14.3,7.6,26.17
050US37123,12.26,11.6,57.2
050US28141,11.7,14.1,76.25
050US42099,11.41,7.78,53.78
050US42103,12.19,11.3,216.75
050US42127,10.49,9.06,52.29
050US42133,12.2,7.53,58.45
050US48411,11.98,12.3,24.0
050US48429,13.01,10.12,21.75
050US48449,14.93,11.43,37.88
050US48453,12.91,4.89,33.61
050US48455,9.65,11.38,18.6
050US48467,12.1,10.77,42.2
050US48473,24.01,15.75,69.33
050US48479,16.95,13.45,67.12
050US49033,12.72,4.4,23.0
050US49045,14.62,7.41,114.43
050US49047,13.62,5.94,55.4
050US49051,13.72,4.85,105.25
050US50017,11.74,7.43,25.22
050US50027,9.77,4.42,20.53
050US51007,12.36,9.55,104.0
050US51017,10.4,6.5,31.0
050US51019,11.48,4.24,29.36
050US51023,11.43,4.96,47.2
050US51033,12.29,12.58,148.33
050US51036,9.79,10.0,33.33
050US51041,13.46,6.58,71.14
050US51057,11.42,7.57,37.33
050US51067,11.88,8.52,64.11
050US51083,11.39,9.81,56.0
050US51091,4.07,6.3,12.0
050US51095,11.17,3.34,45.75
050US51107,11.86,8.44,189.88
050US51111,11.04,10.87,42.33
050US51127,10.57,5.23,56.33
050US51133,7.19,4.8,31.0
050US51143,11.08,10.7,55.64
050US51159,9.11,10.2,44.5
050US51165,13.44,4.33,21.58
050US51175,10.93,7.78,42.0
050US51179,14.79,9.54,130.74
050US51187,12.95,10.23,128.57
050US53047,11.06,5.62,21.6
050US53049,9.09,6.5,29.43
050US53053,13.15,7.51,75.58
050US53061,11.93,5.61,59.8
050US53071,16.88,4.52,27.82
050US53073,17.75,3.8,47.19
050US54013,9.29,11.95,27.5
050US54017,12.63,9.5,27.5
050US54019,10.67,11.72,50.91
050US54023,11.21,14.83,65.67
050US54027,11.7,19.12,126.4
050US54033,11.29,9.03,36.4
050US54037,12.69,10.79,176.43
050US54043,10.53,10.4,27.0
050US54065,10.51,9.75,72.5
050US54071,9.99,14.6,31.33
050US54081,11.12,7.76,41.31
050US54093,10.93,8.73,27.67
050US54095,10.85,10.23,34.67
050US37133,25.44,5.78,44.78
050US37137,9.65,6.9,53.5
050US37149,9.29,5.2,38.33
050US37153,13.24,12.18,52.73
050US37161,12.11,11.38,71.17
050US37163,12.79,11.78,61.0
050US37177,8.42,10.9,38.0
050US38005,13.42,7.47,5.75
050US38033,13.71,2.5,4.0
050US38053,13.58,4.95,3.25
050US38059,11.08,3.2,20.6
050US38067,9.89,6.24,11.4
050US38071,12.73,2.57,4.62
050US22067,13.28,14.36,54.12
050US22069,20.78,12.69,44.56
050US22079,13.37,11.2,41.32
050US22097,13.06,10.26,38.79
050US22107,11.98,9.27,22.33
050US22113,12.94,9.97,48.3
050US22117,12.55,11.25,45.5
050US22123,11.33,12.4,33.67
050US23007,13.49,10.6,59.86
050US08065,14.77,8.17,36.67
050US08071,11.73,13.04,32.57
050US08093,7.74,8.82,93.6
050US08105,13.4,15.73,58.25
