HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP
050US40025,2.0,2.0,1.0,0.0,,,0.0,,,4.7,13.3,39.17,141.85,,,67.28,,,1.0,1.0,0.5,0.0,,,0.0,,
050US40147,13.0,12.0,9.0,13.0,7.0,,13.0,8.0,,3.69,14.19,41.55,11.39,36.8,,11.38,36.71,,1.0,0.92,0.69,1.0,0.54,,1.0,0.62,
050US41053,11.0,11.0,9.0,9.0,2.0,,11.0,11.0,5.0,5.5,13.92,39.3,25.67,86.18,,9.9,19.67,55.06,0.92,0.92,0.75,0.75,0.17,,0.92,0.92,0.42
050US51840,5.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0,5.0,0.65,2.09,5.86,9.35,22.6,65.71,1.85,3.93,10.73,1.0,1.0,1.0,1.0,0.8,0.0,1.0,1.0,1.0
050US13175,12.0,7.0,2.0,12.0,6.0,,12.0,6.0,,14.33,43.49,165.01,14.36,43.48,,15.55,47.38,,0.92,0.54,0.15,0.92,0.46,,0.92,0.46,
050US08123,76.0,52.0,29.0,26.0,,,76.0,58.0,,8.38,27.36,78.24,40.33,,,8.53,26.4,,0.99,0.68,0.38,0.34,,,0.99,0.75,
050US27009,8.0,4.0,,8.0,3.0,,8.0,3.0,,12.59,47.04,,16.33,68.11,,12.89,57.95,,0.89,0.44,,0.89,0.33,,0.89,0.33,
050US27057,5.0,2.0,2.0,0.0,,,1.0,,,18.46,62.14,177.96,115.88,,,64.33,,,0.71,0.29,0.29,0.0,,,0.14,,
050US26069,2.0,1.0,,,,,0.0,,,36.9,104.52,,,,,87.97,,,0.2,0.1,,,,,0.0,,
050US18135,2.0,0.0,,0.0,0.0,,2.0,0.0,,31.27,113.78,,51.62,192.15,,31.22,112.75,,0.25,0.0,,0.0,0.0,,0.25,0.0,
050US31027,1.0,0.0,,0.0,,,1.0,0.0,,36.3,196.9,,66.52,,,36.49,198.32,,0.5,0.0,,0.0,,,0.5,0.0,
050US31043,4.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,6.11,33.19,78.83,10.39,46.0,120.58,10.39,46.0,120.58,1.0,0.75,0.5,1.0,0.5,0.25,1.0,0.5,0.25
050US55045,7.0,4.0,,0.0,,,8.0,3.0,3.0,13.48,45.49,,49.73,,,11.9,43.78,127.09,0.88,0.5,,0.0,,,1.0,0.38,0.38
050US46025,0.0,0.0,,,,,0.0,,,115.09,397.18,,,,,120.41,,,0.0,0.0,,,,,0.0,,
050US17117,11.0,4.0,,0.0,,,7.0,2.0,,17.28,54.63,,49.01,,,26.59,88.77,,0.85,0.31,,0.0,,,0.54,0.15,
050US56009,3.0,2.0,,,,,0.0,,,17.51,73.66,,,,,56.96,,,0.75,0.5,,,,,0.0,,
050US42077,76.0,66.0,48.0,74.0,1.0,,76.0,56.0,28.0,4.05,10.84,31.11,21.06,63.96,,6.8,19.24,53.89,1.0,0.87,0.63,0.97,0.01,,1.0,0.74,0.37
050US49053,19.0,14.0,,18.0,6.0,,20.0,14.0,7.0,12.14,47.31,,17.38,69.8,,9.48,34.87,91.95,0.9,0.67,,0.86,0.29,,0.95,0.67,0.33
050US18153,1.0,0.0,,0.0,,,0.0,0.0,,33.83,129.96,,90.56,,,41.17,178.46,,0.2,0.0,,0.0,,,0.0,0.0,
050US19123,6.0,4.0,3.0,0.0,0.0,,0.0,0.0,,11.06,32.91,88.99,39.13,197.66,,39.13,187.6,,0.86,0.57,0.43,0.0,0.0,,0.0,0.0,
050US21117,41.0,33.0,22.0,41.0,19.0,,41.0,32.0,12.0,5.96,14.98,42.91,11.98,34.25,,8.59,22.52,63.7,1.0,0.8,0.54,1.0,0.46,,1.0,0.78,0.29
050US29186,0.0,0.0,,0.0,,,3.0,1.0,1.0,37.58,142.42,,74.75,,,19.41,63.98,186.48,0.0,0.0,,0.0,,,0.75,0.25,0.25
050US31099,2.0,0.0,,,,,0.0,0.0,,25.33,139.56,,,,,41.21,221.66,,1.0,0.0,,,,,0.0,0.0,
050US21105,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,37.26,140.41,,57.42,268.87,,32.92,109.71,327.86,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
050US13247,15.0,7.0,3.0,15.0,5.0,1.0,15.0,6.0,,8.5,24.92,73.99,11.87,38.12,124.13,10.37,37.19,,1.0,0.47,0.2,1.0,0.33,0.07,1.0,0.4,
050US17077,14.0,10.0,4.0,6.0,0.0,,12.0,8.0,5.0,9.95,27.17,79.97,34.06,160.06,,12.46,40.82,119.52,1.0,0.71,0.29,0.43,0.0,,0.86,0.57,0.36
050US18183,7.0,2.0,1.0,4.0,0.0,,7.0,2.0,1.0,12.89,40.37,118.78,28.99,136.22,,12.89,41.26,121.41,1.0,0.29,0.14,0.57,0.0,,1.0,0.29,0.14
050US27007,7.0,7.0,6.0,,,,6.0,4.0,,12.66,34.61,103.04,,,,29.42,93.86,,0.7,0.7,0.6,,,,0.6,0.4,
