HEROP_ID,Age15_24P,ForDqP,ForDqTot,TotPcp,TotSp
140US01073011901,7.81,12.1,35.0,0.0,0.0
140US01073011904,15.05,,,1.0,0.0
140US01073012001,10.66,13.8,122.0,0.0,0.0
140US01073012002,12.39,9.1,96.0,1.0,5.0
140US01073012103,9.92,14.5,114.0,4.0,0.0
140US01073012104,11.65,12.6,67.0,0.0,0.0
140US01073012200,10.17,11.1,37.0,1.0,0.0
140US01073012302,7.32,10.0,56.0,0.0,0.0
140US01073012304,14.34,,,1.0,0.0
140US01073012305,14.39,,,0.0,0.0
140US01073012401,12.97,14.0,114.0,0.0,0.0
140US01073012402,8.45,14.3,78.0,3.0,0.0
140US01073012403,11.51,14.7,113.0,0.0,0.0
140US01073012500,11.35,15.1,110.0,0.0,0.0
140US01073012602,7.75,10.0,47.0,9.0,134.0
140US01073012701,13.16,9.0,51.0,2.0,2.0
140US01073012703,11.92,,,1.0,1.0
140US01073012704,8.29,,,0.0,0.0
140US01073012802,5.6,,,3.0,0.0
140US01073012803,8.52,,,3.0,6.0
140US01073012905,9.02,2.4,22.0,21.0,125.0
140US01073012906,9.47,3.7,42.0,4.0,12.0
140US01073012907,9.51,5.0,57.0,3.0,0.0
140US01073012908,8.9,6.7,29.0,4.0,6.0
140US01073012910,11.18,,,1.0,34.0
140US01073012911,12.37,,,9.0,17.0
140US01073012912,16.38,,,0.0,14.0
140US01073012913,13.07,,,2.0,2.0
140US01073012914,15.62,,,0.0,4.0
140US01073012915,8.57,,,9.0,10.0
140US01073013002,7.56,18.7,47.0,0.0,0.0
140US01073013100,14.13,18.8,87.0,0.0,0.0
140US01073013200,13.05,17.7,103.0,0.0,0.0
140US01073013300,10.6,20.8,92.0,0.0,0.0
