HEROP_ID,RxMinDis,RxTmDr,RxCntDr,NoIntP
140US01095030904,3.56,7.44,20,17.14
140US01097000702,0.53,4.04,101,47.96
140US01097000800,0.71,2.73,102,36.77
140US01097000901,0.32,0.0,110,23.45
140US01097000903,0.27,2.41,104,20.85
140US01097001100,0.78,3.25,104,51.68
140US01121010102,5.69,18.21,24,29.77
140US01125010701,7.18,13.95,42,22.19
140US01125010804,1.5,0.0,51,17.13
140US01125011701,0.72,1.93,55,52.87
140US01077011603,2.38,10.67,48,24.4
140US01097003703,0.63,0.0,93,16.85
140US01097003901,1.75,6.06,96,48.83
140US01053970600,5.94,0.0,5,46.35
140US01055000800,0.65,0.0,40,27.49
140US01055001300,0.31,0.0,32,23.81
140US01055010300,3.43,13.04,31,18.63
140US01003010300,6.69,0.0,8,23.0
140US01125012304,0.71,0.0,54,15.38
140US01125012404,1.16,6.33,54,31.36
140US01073012803,0.67,0.0,192,7.11
140US01073012915,0.74,0.0,183,10.8
140US01073013400,1.12,5.94,154,18.42
140US01017954300,6.74,0.0,5,19.38
140US01003010400,12.03,46.88,0,24.07
140US01003010703,1.84,0.0,46,6.1
140US01125011200,0.82,0.0,54,46.33
140US01003010800,0.22,0.0,54,11.0
140US01109188800,10.2,17.06,5,29.59
140US01035960200,13.52,32.42,0,39.49
140US01035960500,3.99,0.0,5,43.5
140US01039961600,10.05,20.97,8,17.46
140US01007010002,4.92,0.0,3,22.83
140US01005950200,7.03,0.0,2,44.71
140US01005950900,1.14,0.0,8,25.31
140US01127021100,4.78,0.0,5,29.38
140US01101000100,0.21,0.0,76,34.88
140US01101001300,0.13,0.0,76,23.77
140US01061050500,1.35,0.0,15,23.27
140US01065040000,3.75,0.0,17,19.35
140US01031010500,3.92,0.0,12,31.35
140US01101005700,22.26,37.45,0,28.48
140US01103005702,6.22,0.0,21,25.28
140US01079979700,11.47,11.2,15,34.68
140US01013953200,8.01,11.41,8,29.1
140US01013953400,5.16,0.0,4,33.94
140US01015001202,3.41,6.53,31,23.04
140US01015001400,4.9,12.02,29,28.35
140US01015002102,2.45,0.0,21,7.85
140US01015002501,1.96,0.0,28,10.05
140US01015981901,3.42,15.32,3,
140US01017953900,5.5,10.87,5,30.85
140US01003011102,3.85,7.33,34,13.79
140US01003011403,1.54,0.0,16,14.55
140US01003011601,2.81,0.0,20,14.12
140US01129044300,15.39,23.53,2,36.28
140US01133965503,8.78,0.0,1,25.95
140US01003010704,2.11,13.01,50,9.82
140US01003011000,3.88,10.92,24,22.35
140US01073000300,0.95,5.01,207,44.12
140US01009050101,4.83,0.0,6,25.21
140US01011952200,1.12,0.0,3,30.12
140US01013952700,5.64,0.0,4,24.52
140US01083021000,1.37,0.0,55,10.35
140US01103005500,4.76,7.22,48,25.79
140US01127021400,2.34,0.0,20,30.17
140US01127021900,4.81,20.88,6,26.68
140US01119011300,1.55,0.0,2,28.93
140US01043965000,0.53,0.0,27,23.95
140US01033020704,0.02,0.0,53,14.41
140US01051030702,2.48,0.0,8,14.41
140US01069040800,1.85,0.0,39,20.31
140US01069041100,0.98,0.0,39,28.75
140US01069041400,1.23,0.0,39,29.26
140US01057020400,1.11,0.0,6,28.09
140US01069041600,6.97,17.09,36,24.66
140US01059973300,6.71,17.15,5,31.9
140US01073001500,1.3,3.14,221,51.86
140US01073001902,0.41,3.25,187,33.13
140US01073005104,0.6,5.52,203,8.57
140US01073005302,1.03,6.79,153,9.79
140US01073005701,1.33,5.03,158,25.28
140US01073005903,0.6,0.0,140,15.36
140US01073005907,1.31,6.91,119,4.58
140US01073005908,1.13,0.0,118,15.36
140US01073010002,0.82,0.0,104,15.02
140US01045021102,2.11,0.0,30,15.16
140US01069040201,1.17,0.0,40,8.04
140US01059973500,7.31,0.0,3,33.51
140US01061050100,3.35,0.0,3,27.79
140US01073004200,1.12,5.25,211,48.31
140US01073004701,0.33,0.0,216,9.61
140US01073004901,0.39,0.0,222,14.25
140US01043964700,3.0,0.0,25,16.92
140US01043964900,0.17,0.0,27,14.69
140US01043965100,4.05,9.57,24,23.26
140US01031010400,4.18,8.31,13,23.84
140US01031010600,7.09,13.2,6,28.31
140US01031011202,1.56,0.0,11,9.87
140US01033020100,1.23,3.38,47,37.39
140US01033020400,1.82,7.87,44,2.48
140US01101005609,1.67,0.0,61,6.09
140US01055010100,3.31,0.0,39,18.78
140US01055010200,0.19,0.0,39,12.88
140US01049961200,4.28,11.95,16,10.67
140US01045020200,11.97,24.46,3,31.97
140US01045020300,5.09,8.32,10,20.67
140US01051030200,8.92,30.32,0,21.21
140US01129044200,3.35,0.0,1,16.67
140US01129043900,1.6,0.0,1,35.68
140US01053969900,6.01,21.85,4,35.23
140US01073002000,1.16,0.0,178,45.45
140US01073002305,1.36,3.77,203,10.76
140US01073002700,0.34,0.0,223,26.81
140US01073003001,1.05,3.84,210,39.56
140US01073003002,0.99,5.76,210,36.01
140US01073003400,0.72,0.0,184,22.48
140US01073003700,0.82,0.0,181,27.92
140US01073003803,1.09,4.85,179,19.9
140US01017954200,5.28,9.16,10,19.81
140US01017954700,2.45,9.99,6,19.94
140US01043965600,11.02,38.52,0,15.81
140US01045020000,6.64,10.93,13,1.31
140US01055010501,3.1,0.0,30,8.78
140US01051031300,1.32,0.0,73,13.72
140US01055010502,2.38,0.0,30,15.32
140US01115040203,4.91,0.0,16,27.5
140US01115040204,2.0,0.0,11,16.08
140US01117030306,0.76,0.0,74,11.63
140US01117030315,0.67,0.0,155,11.78
140US01117030316,1.43,0.0,153,10.74
140US01109188600,10.07,22.14,5,27.72
140US01115040501,0.95,0.0,16,10.27
140US01115040402,3.81,0.0,16,24.67
140US01109189200,9.64,27.73,3,35.74
140US01117030604,1.6,0.0,35,4.64
140US01033020901,2.82,0.0,31,25.66
140US01033021000,3.45,0.0,18,31.36
140US01073011901,2.34,11.03,108,34.88
140US01117030502,3.85,0.0,35,13.45
140US01073010801,0.18,0.0,206,1.69
140US01073010803,1.06,7.98,149,10.77
140US01073011002,1.36,0.0,102,25.21
140US01111000400,3.55,0.0,5,17.15
140US01117030303,1.47,0.0,174,6.11
140US01055001600,2.21,6.53,30,13.77
140US01073012002,1.11,0.0,147,11.08
140US01035960600,10.52,0.0,4,42.09
140US01117030406,2.39,0.0,20,30.03
140US01133965502,9.51,15.6,1,29.96
140US01133965800,4.22,0.0,8,34.29
140US01119011600,9.24,28.81,2,44.12
140US01117030900,6.92,20.62,21,22.31
140US01121010101,4.79,13.19,23,12.99
140US01051030300,8.01,15.71,1,11.29
140US01117030214,2.39,0.0,37,5.1
140US01055011200,0.19,0.0,31,32.82
140US01121010201,3.17,6.74,21,18.87
140US01051030500,0.44,0.0,9,18.48
140US01069041700,2.91,0.0,14,38.83
140US01125012100,0.63,0.0,54,13.01
140US01125012303,1.18,0.0,51,17.45
140US01125012305,1.75,7.17,51,11.81
140US01057020100,7.27,16.85,10,25.94
140US01123962400,6.58,0.0,11,31.43
140US01057020200,4.56,13.33,5,26.27
140US01101005611,1.8,0.0,61,4.85
140US01125010101,2.88,5.21,53,1.62
140US01045021300,5.78,15.25,27,15.98
140US01045021400,3.52,0.0,40,19.46
140US01101005800,22.77,44.6,0,28.48
140US01101005902,0.53,10.31,74,38.66
140US01103000100,0.6,0.0,57,25.7
140US01103000400,0.34,0.0,66,21.27
140US01073011301,6.13,17.29,24,22.67
140US01127021500,2.94,0.0,28,24.98
140US01003011602,0.52,0.0,19,18.81
140US01005950500,9.79,19.74,7,26.24
140US01005950600,7.18,0.0,9,26.58
140US01051030701,6.72,20.31,38,2.37
140US01127021800,2.2,0.0,11,18.81
140US01073011107,1.43,0.0,97,8.57
140US01049960200,2.29,0.0,9,27.17
140US01049960400,3.85,0.0,17,22.94
140US01043965200,6.18,17.25,22,13.14
140US01073010401,0.37,0.0,124,32.0
140US01067030100,6.25,9.57,2,30.76
140US01067030400,8.13,13.13,9,30.12
140US01043964100,6.68,16.29,9,23.55
140US01043964200,1.27,0.0,23,30.62
140US01043964400,2.45,0.0,24,24.03
140US01033020802,4.18,0.0,51,34.26
140US01067030600,10.79,23.91,3,23.41
140US01073010402,0.84,0.0,105,15.04
140US01133965900,11.29,31.13,0,28.26
140US01055001200,0.35,0.0,31,31.45
140US01055010602,4.75,22.54,13,26.15
140US01055010900,6.13,15.09,26,22.24
140US01073010602,0.59,0.0,162,39.16
140US01073010704,1.06,0.0,216,5.94
140US01073010706,0.79,0.0,198,6.01
