HEROP_ID,FIPS,PcpPer100k,TotSp,TotPcp,SpPer100k
050US53053,53053,78.5,1238.0,675.0,143.98
050US53061,53061,59.11,662.0,465.0,84.16
050US53071,53071,122.85,98.0,74.0,162.69
050US53073,53073,83.02,270.0,180.0,124.53
050US54013,54013,54.08,2.0,4.0,27.04
050US54017,54017,0.0,0.0,0.0,0.0
050US54019,54019,58.92,14.0,26.0,31.73
050US54023,54023,68.72,4.0,8.0,34.36
050US54027,54027,29.96,2.0,7.0,8.56
050US54033,54033,114.35,87.0,78.0,127.55
050US54037,54037,32.04,19.0,18.0,33.82
050US54043,54043,61.68,2.0,13.0,9.49
050US54065,54065,34.04,2.0,6.0,11.35
050US54071,54071,28.34,0.0,2.0,0.0
050US54081,54081,116.75,129.0,89.0,169.22
050US54093,54093,56.92,2.0,4.0,28.46
050US54095,54095,56.12,5.0,5.0,56.12
050US37133,37133,41.26,136.0,80.0,70.13
050US37137,37137,39.24,0.0,5.0,0.0
050US37149,37149,58.66,15.0,12.0,73.32
050US37153,37153,53.11,29.0,24.0,64.17
050US37161,37161,58.62,49.0,39.0,73.65
050US37163,37163,59.79,30.0,38.0,47.2
050US37177,37177,0.0,0.0,0.0,0.0
050US38005,38005,29.04,0.0,2.0,0.0
050US38033,38033,0.0,0.0,0.0,0.0
050US38053,38053,7.98,0.0,1.0,0.0
050US38059,38059,36.01,3.0,11.0,9.82
050US38067,38067,57.01,2.0,4.0,28.51
050US38071,38071,121.14,5.0,14.0,43.26
050US22067,22067,50.02,17.0,13.0,65.4
050US22069,22069,43.63,18.0,17.0,46.2
050US22079,22079,96.54,215.0,127.0,163.44
050US22097,22097,68.31,81.0,57.0,97.07
050US22107,22107,0.0,0.0,0.0,0.0
050US22113,22113,33.41,16.0,20.0,26.73
050US22117,22117,43.05,37.0,20.0,79.64
050US22123,22123,44.72,0.0,5.0,0.0
050US23007,23007,119.92,31.0,36.0,103.27
050US08065,8065,26.37,3.0,2.0,39.55
050US08071,8071,56.42,12.0,8.0,84.63
050US08093,8093,17.25,2.0,3.0,11.5
050US08105,8105,61.67,2.0,7.0,17.62
050US08113,8113,37.65,1.0,3.0,12.55
050US09001,9001,87.68,1683.0,828.0,178.22
050US09007,9007,77.13,205.0,126.0,125.48
050US09011,9011,69.18,361.0,186.0,134.26
050US10005,10005,60.58,240.0,133.0,109.32
050US12033,12033,76.72,584.0,239.0,187.47
050US12037,12037,42.6,2.0,5.0,17.04
050US12041,12041,56.77,2.0,10.0,11.35
050US12047,12047,14.02,1.0,2.0,7.01
050US12053,12053,61.85,163.0,113.0,89.22
050US12071,12071,55.52,833.0,399.0,115.91
050US19009,19009,35.48,2.0,2.0,35.48
050US19027,19027,127.8,18.0,26.0,88.48
050US19075,19075,48.62,0.0,6.0,0.0
050US19113,19113,65.28,256.0,145.0,115.25
050US19147,19147,66.26,0.0,6.0,0.0
050US19195,19195,13.35,0.0,1.0,0.0
050US20069,20069,16.56,0.0,1.0,0.0
050US20143,20143,67.77,0.0,4.0,0.0
050US20181,20181,33.52,2.0,2.0,33.52
050US21005,21005,31.51,2.0,7.0,9.0
050US21025,21025,99.12,13.0,13.0,99.12
050US21029,21029,22.65,31.0,18.0,39.01
050US21033,21033,86.43,2.0,11.0,15.71
050US21043,21043,25.65,5.0,7.0,18.32
050US21049,21049,36.24,33.0,13.0,91.99
050US21063,21063,13.3,0.0,1.0,0.0
050US21071,21071,89.37,25.0,33.0,67.7
050US21085,21085,64.94,21.0,17.0,80.22
050US21097,21097,53.57,12.0,10.0,64.28
050US21109,21109,29.91,1.0,4.0,7.48
050US21119,21119,19.34,0.0,3.0,0.0
050US21125,21125,49.85,51.0,30.0,84.75
050US21135,21135,22.24,2.0,3.0,14.83
050US21139,21139,32.39,2.0,3.0,21.59
050US21153,21153,31.58,0.0,4.0,0.0
050US21159,21159,16.78,0.0,2.0,0.0
050US21167,21167,55.77,9.0,12.0,41.83
050US21181,21181,28.17,4.0,2.0,56.34
050US21183,21183,24.93,13.0,6.0,54.01
050US21193,21193,159.75,48.0,43.0,178.33
050US21197,21197,24.35,2.0,3.0,16.23
050US21205,21205,122.45,40.0,30.0,163.27
050US54109,54109,23.03,0.0,5.0,0.0
050US55023,55023,73.67,10.0,12.0,61.39
050US55037,55037,23.06,0.0,1.0,0.0
050US55051,55051,52.49,3.0,3.0,52.49
050US55069,55069,64.64,10.0,18.0,35.91
050US55075,55075,74.01,46.0,30.0,113.48
050US55111,55111,86.48,40.0,55.0,62.9
050US41007,41007,95.95,27.0,37.0,70.02
050US41017,41017,78.61,269.0,142.0,148.91
050US41019,41019,72.01,113.0,78.0,104.32
050US41065,41065,81.19,40.0,21.0,154.64
050US42003,42003,104.69,3176.0,1283.0,259.15
050US42027,42027,65.66,184.0,106.0,113.97
050US42033,42033,63.58,102.0,51.0,127.16
050US42041,42041,91.74,382.0,227.0,154.39
050US42045,42045,86.42,907.0,487.0,160.95
050US42051,42051,50.65,94.0,67.0,71.06
050US42061,42061,48.44,19.0,22.0,41.83
