HEROP_ID,FIPS,RxCtTmDr,RxAvTmDr,RxTmDrP,NoIntP,OdMortRt,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
050US25013,25013,103.0,2.69,1.0,16.86,45.3,386.12,51.61,1182,158
050US25025,25025,204.0,1.27,1.0,12.49,30.6,254.95,50.92,1512,302
050US26033,26033,9.0,33.38,0.56,17.25,15.2,811.11,,202,
050US26053,26053,7.0,8.59,0.88,23.61,12.2,783.94,,66,
050US26063,26063,12.0,13.38,0.92,22.07,14.7,387.41,,72,
050US26097,26097,2.0,37.48,0.33,19.93,12.1,376.12,,24,
050US26115,26115,39.0,5.76,1.0,14.43,27.2,543.28,,542,
050US13283,13283,2.0,7.19,1.0,33.98,8.9,1846.38,689.32,75,28
050US13289,13289,1.0,15.77,0.5,38.44,12.7,1112.23,343.78,55,17
050US13313,13313,18.0,4.9,1.0,17.79,18.4,1321.45,960.1,885,643
050US13317,13317,4.0,12.3,1.0,46.72,15.9,1161.78,364.14,67,21
050US15001,15001,43.0,16.48,0.86,17.54,11.0,328.65,,3037,
050US15009,15009,38.0,15.8,1.0,12.15,15.9,328.65,,3037,
050US16059,16059,1.0,39.1,0.33,19.6,14.2,,,,
050US16073,16073,2.0,30.65,0.67,21.48,12.9,,,,
050US16083,16083,13.0,5.56,0.93,13.48,21.6,,,,
050US16087,16087,2.0,16.46,0.67,22.45,9.7,,,,
050US17027,17027,8.0,9.2,1.0,19.52,11.3,449.7,266.49,108,64
050US17031,17031,1319.0,1.63,1.0,14.65,26.3,485.39,240.92,17258,8566
050US17047,17047,3.0,5.6,1.0,16.8,16.2,1194.58,451.29,45,17
050US49029,49029,2.0,8.3,1.0,3.54,16.2,69.33,55.46,5,4
050US49035,49035,212.0,2.2,1.0,7.42,21.9,319.81,162.63,2521,1282
050US49043,49043,11.0,13.66,0.85,5.06,16.9,143.87,70.18,41,20
050US49049,49049,128.0,3.84,1.0,4.39,14.5,208.97,119.82,879,504
050US51015,51015,12.0,12.2,0.92,20.29,14.5,,,,
050US51037,51037,3.0,18.19,1.0,34.22,16.5,,,,
050US51051,51051,4.0,5.92,1.0,32.12,55.2,,,,
050US51053,51053,6.0,11.89,0.86,23.57,13.7,,,,
050US51069,51069,14.0,7.15,1.0,13.7,19.1,,,,
050US51073,51073,8.0,5.03,1.0,11.67,15.9,,,,
050US51085,51085,23.0,4.48,1.0,11.45,18.2,,,,
050US51099,51099,5.0,9.9,1.0,7.54,24.6,,,,
050US51125,51125,3.0,8.74,1.0,26.66,13.1,,,,
050US51131,51131,4.0,2.64,1.0,22.96,14.2,,,,
050US51137,51137,5.0,10.59,1.0,16.58,27.0,,,,
050US51145,51145,5.0,12.43,1.0,8.27,17.3,,,,
050US51149,51149,7.0,12.86,1.0,12.24,14.1,,,,
050US51161,51161,18.0,4.68,1.0,13.84,16.3,,,,
050US51177,51177,29.0,9.48,0.97,8.16,21.9,,,,
050US51185,51185,11.0,5.45,1.0,23.77,45.5,,,,
050US51199,51199,15.0,4.61,1.0,6.89,14.6,,,,
050US53005,53005,36.0,6.69,0.97,9.72,14.7,390.9,198.17,503,255
050US53007,53007,13.0,9.3,0.93,15.89,17.3,493.66,310.36,237,149
050US53009,53009,19.0,12.95,0.86,12.69,24.8,399.97,199.99,172,86
050US53015,53015,23.0,7.29,0.96,13.93,21.3,796.53,344.92,545,236
050US53025,53025,11.0,20.23,0.69,14.19,15.1,456.91,235.88,277,143
050US53031,53031,5.0,32.06,0.62,10.03,21.5,312.7,214.26,54,37
050US53037,53037,6.0,13.18,0.75,9.97,12.8,446.09,203.07,134,61
050US53043,53043,4.0,7.23,1.0,14.06,16.9,358.66,195.63,22,12
050US12077,12077,2.0,13.1,1.0,28.51,12.9,1148.0,671.14,65,38
050US05061,5061,3.0,3.26,1.0,27.95,8.5,,,,
050US05093,5093,12.0,4.49,1.0,20.9,13.6,,,,
050US05095,5095,3.0,7.62,1.0,40.2,9.4,,,,
050US05099,5099,2.0,18.17,0.67,34.35,10.2,,,,
050US05103,5103,6.0,8.83,1.0,29.56,10.9,,,,
050US05109,5109,3.0,0.0,1.0,29.7,15.9,,,,
050US05117,5117,3.0,6.75,1.0,34.85,9.8,,,,
050US05133,5133,3.0,11.12,0.75,20.88,12.3,,,,
050US05147,5147,2.0,0.0,1.0,45.12,13.4,,,,
050US06045,6045,19.0,13.09,0.9,15.83,43.0,651.59,195.29,357,107
050US06051,6051,2.0,14.53,0.67,12.74,12.5,152.84,87.34,14,8
050US24011,24011,9.0,6.77,1.0,17.0,41.4,654.67,287.3,139,61
050US24033,24033,218.0,3.07,1.0,10.04,17.7,339.4,73.31,2213,478
050US24043,24043,32.0,3.0,1.0,18.55,51.8,541.4,202.77,542,203
050US25007,25007,5.0,1.09,1.0,12.65,20.1,72.72,,9,
050US25017,25017,318.0,2.02,1.0,8.39,20.9,96.63,24.99,1079,279
050US26041,26041,10.0,19.62,0.77,21.07,8.7,482.41,,106,
050US26099,26099,217.0,1.78,1.0,11.68,30.9,319.62,,1855,
050US26103,26103,24.0,7.3,0.96,13.75,15.9,389.11,,172,
050US26135,26135,3.0,18.16,0.6,30.77,23.9,694.6,,32,
050US26147,26147,48.0,7.89,0.96,14.51,34.8,214.03,,221,
050US26163,26163,611.0,1.79,1.0,18.96,42.9,974.36,,11370,
050US27023,27023,4.0,11.81,1.0,19.83,6.3,410.0,369.0,30,27
050US27053,27053,299.0,2.41,1.0,9.24,18.4,300.93,162.71,2593,1402
050US27077,27077,2.0,13.22,1.0,24.9,12.2,310.7,177.54,7,4
050US27091,27091,5.0,17.11,0.83,17.8,5.0,331.55,391.06,39,46
050US27129,27129,4.0,16.65,0.67,24.34,8.2,415.59,325.73,37,29
050US27139,27139,21.0,5.44,1.0,6.72,9.3,159.3,143.27,159,143
050US27163,27163,50.0,3.87,1.0,6.72,14.0,112.15,82.52,193,142
050US28007,28007,6.0,11.88,1.0,27.63,7.6,,,,
050US28033,28033,33.0,2.37,1.0,11.1,17.4,707.51,320.48,861,390
050US28055,28055,0.0,35.96,0.0,57.76,8.3,446.83,,5,
050US28075,28075,19.0,4.55,1.0,23.32,8.0,1437.01,441.49,664,204
050US28143,28143,3.0,3.37,1.0,25.78,11.7,1397.05,254.01,88,16
050US28157,28157,1.0,21.34,0.5,45.93,11.1,507.97,122.61,29,7
