HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,OdMortRt
050US36119,192.05,64.7,1217.0,410.0,14.2
050US36123,436.51,320.97,68.0,50.0,13.6
050US37009,505.99,234.48,82.0,38.0,24.2
050US37013,1034.46,461.31,296.0,132.0,20.3
050US37017,669.2,403.42,141.0,85.0,18.2
050US37023,571.43,310.6,333.0,181.0,30.7
050US37037,348.57,185.1,145.0,77.0,11.3
050US37043,248.18,132.36,15.0,8.0,30.2
050US37053,241.93,141.62,41.0,24.0,19.7
050US37057,588.07,284.58,622.0,301.0,24.6
050US37065,774.27,436.46,259.0,146.0,17.9
050US37075,508.01,254.01,26.0,13.0,30.6
050US37085,376.66,218.07,323.0,187.0,15.2
050US37089,451.93,261.64,304.0,176.0,19.5
050US37095,518.42,245.57,19.0,9.0,22.5
050US37103,510.62,362.38,31.0,22.0,22.3
050US37115,1068.03,468.18,146.0,64.0,22.2
050US37123,453.21,323.72,77.0,55.0,20.2
050US28141,563.15,364.39,68.0,44.0,19.9
050US42099,462.68,264.87,138.0,79.0,19.3
050US42103,556.06,354.63,196.0,125.0,24.8
050US42127,534.68,224.32,174.0,73.0,26.1
050US42133,528.28,237.64,1525.0,686.0,22.6
050US48411,1112.35,444.94,40.0,16.0,14.8
050US48429,1688.27,750.34,99.0,44.0,20.5
050US48449,807.05,564.44,163.0,114.0,14.4
050US48453,488.29,260.7,4233.0,2260.0,12.6
050US48455,1667.46,690.81,140.0,58.0,17.6
050US48467,869.28,644.47,290.0,215.0,15.5
050US48473,478.15,181.87,163.0,62.0,11.1
050US48479,326.85,171.6,560.0,294.0,12.2
050US49033,447.43,298.28,6.0,4.0,23.3
050US49045,300.98,210.44,123.0,86.0,21.9
050US49047,726.53,428.7,161.0,95.0,21.4
050US49051,309.97,168.12,59.0,32.0,22.9
050US50017,,,,,17.8
050US50027,,,,,22.1
050US51007,,,,,16.4
050US51017,,,,,21.6
050US51019,,,,,14.0
050US51023,,,,,15.8
050US51033,,,,,20.8
050US51036,,,,,17.1
050US51041,,,,,19.7
050US51057,,,,,19.6
050US51067,,,,,22.0
050US51083,,,,,14.0
050US51091,,,,,19.7
050US51095,,,,,12.7
050US51107,,,,,10.1
050US51111,,,,,19.4
050US51127,,,,,18.8
050US51133,,,,,21.7
050US51143,,,,,14.4
050US51159,,,,,19.3
050US51165,,,,,11.2
050US51175,,,,,16.8
050US51179,,,,,15.9
050US51187,,,,,22.0
050US53047,850.29,435.22,211.0,108.0,17.4
050US53049,957.13,507.2,117.0,62.0,22.2
050US53053,495.66,199.58,2856.0,1150.0,17.9
050US53061,261.35,103.91,1406.0,559.0,16.7
050US53071,323.55,201.26,127.0,79.0,16.2
050US53073,334.75,189.71,487.0,276.0,11.3
050US54013,,,,,31.3
050US54017,,,,,25.7
050US54019,,,,,40.0
050US54023,,,,,23.9
050US54027,,,,,38.3
050US54033,,,,,31.5
050US54037,,,,,38.8
050US54043,,,,,53.6
050US54065,,,,,30.5
050US54071,,,,,18.7
050US54081,,,,,58.7
050US54093,,,,,21.3
050US54095,,,,,22.5
050US37133,413.68,177.82,556.0,239.0,20.0
050US37137,384.0,264.83,29.0,20.0,22.8
050US37149,284.43,129.29,33.0,15.0,24.6
050US37153,642.43,277.81,185.0,80.0,19.5
050US37161,727.09,570.08,301.0,236.0,27.4
050US37163,900.95,361.38,359.0,144.0,18.7
050US37177,468.2,273.12,12.0,7.0,20.7
050US38005,280.54,0.0,11.0,0.0,12.6
050US38033,,0.0,,0.0,15.5
050US38053,182.68,0.0,15.0,0.0,16.8
050US38059,416.33,0.0,83.0,0.0,12.3
050US38067,186.74,0.0,8.0,0.0,13.2
050US38071,972.65,0.0,69.0,0.0,12.2
050US22067,,,,,18.3
050US22069,,,,,12.4
050US22079,,,,,20.1
050US22097,,,,,17.3
050US22107,,,,,15.1
050US22113,,,,,18.8
050US22117,,,,,40.6
050US22123,,,,,18.2
050US23007,237.54,149.75,46.0,29.0,17.3
050US08065,322.4,113.79,17.0,6.0,18.0
050US08071,484.6,173.07,42.0,15.0,33.5
050US08093,193.49,33.65,23.0,4.0,19.1
050US08105,517.99,287.77,36.0,20.0,30.9
050US08113,156.52,86.96,9.0,5.0,23.1
