"HEROP_ID","FIPS","PrcNtvRsrv","TtlJlPpr","TtlJlAdmr","TtlJlPrtr","TtlJlPp","TtlJlAdm","TtlJlPrt","OdMortRt"
"050US20053","20053",0,345.94,6424.51,197.68,14,260,8,15.7
"050US20095","20095",0,202.84,11111.11,135.23,9,493,6,19.6
"050US20135","20135",0,181.82,0,181.82,3,0,3,15.5
"050US20199","20199",0,342.86,,228.57,3,,2,17.7
"050US48011","48011",0,273.47,4740.2,182.32,3,52,2,16.9
"050US48025","48025",0,428.17,7951.77,305.84,98,1820,70,13.7
"050US48035","48035",0,272.84,1467.68,197.57,29,156,21,13.7
"050US48053","48053",0,1670.33,13387.47,1595.86,471,3775,450,14.2
"050US48055","48055",0,679.21,8217.77,353.76,192,2323,100,13.1
"050US48083","48083",0,143,0,40.86,7,0,2,15.8
"050US29057","29057",0,221.04,18390.8,132.63,10,832,6,22.9
"050US29143","29143",0,331.49,6224.68,349.91,36,676,38,23.8
"050US29157","29157",0,289.3,8703.92,355.43,35,1053,43,23.2
"050US29189","29189",0,204.21,4448.67,135.57,1306,28451,867,28.3
"050US29199","29199",0,140.85,6619.72,0,4,188,0,16.7
"050US29207","29207",0,273.18,7954.98,224.01,50,1456,41,21.2
"050US30015","30015",0.01,338.34,3582.03,79.63,11.94,126.41,2.81,19.2
"050US30023","30023",0,401.07,8689.84,434.49,24,520,26,23.4
"050US30029","30029",0.01,157.57,2317.33,130.51,99,1456,82,18
"050US30039","30039",0,102.3,0,0,2,0,0,20.8
"050US30057","30057",0,174.71,3302.77,70.89,8.65,163.52,3.51,19.5
"050US30071","30071",0.04,83.26,2164.86,0,2,52,0,18.3
"050US30077","30077",0,173.88,1130.19,173.88,8,52,8,23.8
"050US30085","30085",0.74,207.9,1544.4,193.05,14,104,13,19.5
"050US30087","30087",0.08,498.58,4629.63,0,28,260,0,20.7
"050US30105","30105",0.22,460.3,1196.78,460.3,20,52,20,18.8
"050US31091","31091",0,,,,,,,14.5
"050US53065","53065",0.1,149.98,6044.24,131.23,40,1612,35,22
"050US21189","21189",0,1492.22,1492.22,1004.71,41.23,41.23,27.76,50.6
"050US21195","21195",0,1020.84,11352.54,467.12,389,4326,178,39.2
"050US21217","21217",0,1166.3,12575.31,335.66,190.34,2052.29,54.78,30.2
"050US21237","21237",0,1492.41,1492.41,1004.91,66.83,66.83,45,55.9
"050US21239","21239",0,546.55,8649.68,291.09,92,1456,49,27.5
"050US22001","22001",0,194.02,1179.23,12.6,77,468,5,21.3
"050US22009","22009",0,3456.5,16513.51,419.09,899,4295,109,18.6
"050US22011","22011",0.02,528.16,6591.46,105.63,125,1560,25,17.3
