"HEROP_ID","FIPS","GEOID","OpRxRt","SviTh1","SviTh2","SviTh3","SviTh4","SviSmryRnk"
"050US55039","55039",55039,26.2,0.091,0.1766,0.3592,0.5597,0.1887
"050US55041","55041",55041,8,0.4563,0.2208,0.552,0.3691,0.3799
"050US55043","55043",55043,24,0.2685,0.0379,0.0983,0.6968,0.2224
"050US55045","55045",55045,37,0.048,0.2701,0.1276,0.1887,0.0684
"050US55047","55047",55047,20.3,0.3261,0.6987,0.2399,0.4779,0.4228
"050US55049","55049",55049,23.6,0.0172,0.0493,0.1339,0.0328,0.0051
"050US55051","55051",55051,21.4,0.2087,0.2049,0.0757,0.0834,0.0926
"050US55053","55053",55053,22.6,0.5126,0.2424,0.4146,0.7541,0.5231
"050US55055","55055",55055,24.7,0.1107,0.0684,0.335,0.4283,0.1276
"050US55057","55057",55057,26.6,0.4489,0.2354,0.342,0.6166,0.4273
"050US55059","55059",55059,28.7,0.4543,0.4718,0.6268,0.5546,0.5215
"050US55061","55061",55061,9.6,0.0118,0.1107,0.1225,0.022,0.0064
"050US55063","55063",55063,47.2,0.1514,0.0318,0.3388,0.6672,0.182
"050US55065","55065",55065,20.7,0.2383,0.3936,0.1508,0.0643,0.1339
"050US55067","55067",55067,29.4,0.258,0.2669,0.1572,0.1613,0.1607
"050US55069","55069",55069,22.7,0.2485,0.1995,0.1037,0.2848,0.1775
"050US55071","55071",55071,23.1,0.0566,0.3993,0.3248,0.2854,0.1346
"050US55073","55073",55073,37.7,0.1161,0.3086,0.3697,0.2224,0.1473
"050US55075","55075",55075,32.6,0.118,0.1349,0.0735,0.3379,0.1088
"050US55077","55077",55077,3.3,0.2829,0.44,0.1861,0.1896,0.2227
"050US55078","55078",55078,10.3,0.5692,0.5997,0.9927,0.2749,0.5743
"050US55079","55079",55079,53.7,0.6942,0.7569,0.8743,0.839,0.8276
"050US55081","55081",55081,23,0.3315,0.3497,0.3166,0.7474,0.4432
"050US55083","55083",55083,12.3,0.0477,0.0525,0.0983,0.1005,0.0204
"050US55085","55085",55085,45.6,0.0799,0.0713,0.1037,0.0974,0.036
"050US55087","55087",55087,36.6,0.0366,0.1094,0.3977,0.2412,0.0671
"050US55089","55089",55089,35.3,0.0305,0.0926,0.2816,0.1492,0.0395
"050US55091","55091",55091,20.2,0.0808,0.2603,0.0474,0.055,0.0442
"050US55093","55093",55093,17.4,0.0442,0.0051,0.1928,0.329,0.0216
"050US55095","55095",55095,30.9,0.1648,0.1015,0.0932,0.1282,0.0703
"050US55097","55097",55097,21.1,0.098,0.0347,0.2879,0.4613,0.1063
"050US55099","55099",55099,20.2,0.2138,0.2364,0.1276,0.4916,0.2253
"050US55101","55101",55101,27.9,0.3163,0.6519,0.6656,0.4515,0.4674
"050US55103","55103",55103,16.5,0.2892,0.4703,0.1508,0.6274,0.3764
"050US55105","55105",55105,37.8,0.2176,0.5259,0.5119,0.3121,0.2988
"050US55107","55107",55107,10.8,0.3627,0.329,0.0983,0.1756,0.216
"050US55109","55109",55109,18.9,0.0073,0.0668,0.1753,0.0474,0.0086
"050US55111","55111",55111,33.7,0.1877,0.3309,0.3217,0.3869,0.2323
"050US55113","55113",55113,25.5,0.4731,0.3178,0.5829,0.237,0.3758
"050US55115","55115",55115,10,0.1639,0.1728,0.4146,0.3089,0.1769
"050US55117","55117",55117,57,0.0465,0.2552,0.4871,0.4645,0.16
"050US55119","55119",55119,11.8,0.2612,0.3659,0.0579,0.2055,0.189
"050US55121","55121",55121,6.3,0.1788,0.4213,0.3503,0.2074,0.1989
"050US55123","55123",55123,20.8,0.4353,0.5504,0.0544,0.6977,0.4779
"050US55125","55125",55125,17.7,0.2014,0.0913,0.4314,0.0398,0.0729
"050US55127","55127",55127,16.7,0.1995,0.1584,0.4407,0.3608,0.2074
"050US55129","55129",55129,39.8,0.2762,0.1788,0.1339,0.085,0.119
"050US55131","55131",55131,23.6,0.0194,0.0344,0.2294,0.0401,0.008
"050US55133","55133",55133,38.7,0.02,0.0541,0.3888,0.0853,0.0191
"050US55135","55135",55135,29.2,0.1037,0.2059,0.1276,0.2937,0.1142
"050US55137","55137",55137,11.3,0.3837,0.3583,0.3322,0.51,0.3917
"050US55139","55139",55139,38.8,0.1094,0.0853,0.3847,0.5084,0.1549
"050US55141","55141",55141,42.1,0.1651,0.3487,0.2399,0.2619,0.1791
"050US56001","56001",56001,20.3,0.5651,6e-04,0.5119,0.5857,0.2533
"050US56003","56003",56003,26.8,0.5447,0.7926,0.4018,0.3064,0.531
"050US56005","56005",56005,37.5,0.2345,0.3137,0.4018,0.2819,0.2367
"050US56007","56007",56007,19.8,0.51,0.4547,0.5892,0.5539,0.5377
"050US56009","56009",56009,36.2,0.2778,0.3169,0.3503,0.37,0.2781
"050US56011","56011",56011,7.4,0.0881,0.3678,0.1753,0.0767,0.0722
"050US56013","56013",56013,36,0.7582,0.4442,0.6793,0.8193,0.7642
"050US56015","56015",56015,15.3,0.2214,0.2485,0.4445,0.5348,0.2918
"050US56017","56017",56017,91.5,0.2628,0.2848,0.3118,0.1769,0.1938
"050US56019","56019",56019,21.5,0.2981,0.0461,0.328,0.2946,0.1709
"050US56021","56021",56021,46.1,0.2657,0.2129,0.5759,0.272,0.2514
"050US56023","56023",56023,42.5,0.1015,0.2864,0.2323,0.2036,0.118
"050US56025","56025",56025,58.9,0.2991,0.5775,0.42,0.4601,0.3987
"050US56027","56027",56027,11.9,0.6955,0.1623,0.3118,0.2988,0.419
"050US56029","56029",56029,55.2,0.216,0.0608,0.3446,0.1527,0.1072
"050US56031","56031",56031,25.7,0.3611,0.4757,0.4222,0.2507,0.3309
"050US56033","56033",56033,34.1,0.2625,0.0872,0.265,0.49,0.2211
"050US56035","56035",56035,19.6,0.1238,0.3828,0.265,0.1308,0.1225
"050US56037","56037",56037,74.4,0.3703,0.6309,0.5616,0.4458,0.4722
